종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금,시가총액
005930,삼성전자,-2707452,-757837010500,259459.0,70912883000.0,681161.0,191860431500.0,1788142.0,501020545000.0,276500,0.91,5066867516850,1616496035112000
000660,SK하이닉스,-217329,-428012171500,-159679.0,-296185988500.0,-217357.0,-406037939000.0,594564.0,1130701381500.0,1840000,-1.5,6171466634764,1344105951600000
005935,삼성전자우,266462,56851441500,-272500.0,-58192530000.0,80850.0,17204315750.0,-75832.0,-16085565000.0,211500,1.68,1145037192772,169701509434500
402340,SK스퀘어,-68287,-78736177000,-3659.0,-4425791000.0,72428.0,83701942000.0,-300.0,-331822500.0,1133000,0.53,674630003500,149469889734000
009150,삼성전기,-211487,-320146426000,82068.0,124287954500.0,130746.0,197765107500.0,515.0,838004000.0,1486000,3.99,1367682412000,110994832256000
373220,LG에너지솔루션,98635,34587860250,-55301.0,-19306732750.0,-31755.0,-11202939000.0,-11899.0,-4190136500.0,350500,-0.43,91002534500,82017000000000
005380,현대차,59587,21381402000,18218.0,6806224500.0,-78692.0,-28504931750.0,96.0,30711500.0,360500,0.42,166677834500,73349670366000
207940,삼성바이오로직스,6511,9078675000,-9644.0,-13441626500.0,2248.0,3131814500.0,758.0,1053622000.0,1391000,-0.78,42002243000,64390712841000
105560,KB금융,35370,6195738750,147299.0,25897137600.0,-181461.0,-31880524200.0,-1248.0,-219364950.0,175700,-1.01,120575362600,62318634863800
028260,삼성물산,53171,19523108250,2873.0,1060540000.0,-56230.0,-20652836500.0,50.0,19084750.0,367000,-0.14,97904732500,59515502227000
032830,삼성생명,24371,7075055750,10008.0,2945808000.0,-35558.0,-10364687000.0,863.0,252248250.0,291000,0.0,63575462000,58200000000000
034020,두산에너빌리티,519145,44737594550,-123030.0,-10541772000.0,-408372.0,-35253694200.0,8788.0,758815750.0,86500,1.41,261112195100,55408539129000
012450,한화에어로스페이스,12674,13427066500,-6814.0,-7199125500.0,-6125.0,-6508765000.0,252.0,267062000.0,1057000,-0.94,95946677500,54502514857000
055550,신한지주,-22135,-2498471450,60573.0,6843728550.0,-37864.0,-4280418100.0,-594.0,-67085300.0,113200,0.09,82548079050,53141767054800
329180,HD현대중공업,-12651,-5780983250,-10711.0,-4841355750.0,22836.0,10385317500.0,609.0,274586500.0,455500,1.11,69620453000,47809837987500
000270,기아,197594,23555638650,-132044.0,-15746169600.0,-66462.0,-7917970300.0,466.0,55468600.0,118500,-1.25,94067790500,46263940263000
034730,SK,-11917,-7014602000,26997.0,15870860500.0,-15930.0,-9361117000.0,814.0,483660000.0,588000,2.26,67686022500,42631589364000
006400,삼성SDI,58312,30912403500,-41511.0,-22026390000.0,-15063.0,-7954998500.0,-1928.0,-1032278500.0,529000,-0.75,111168604500,42629745370000
068270,셀트리온,88619,15921712000,-28464.0,-5108580900.0,-61291.0,-11014982350.0,1136.0,201995300.0,178500,-1.6,60435748150,41522165916000
