종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,479644602,-150748140,-338472352,9575890,4200.0,-1.6399999856948853,1397388792.0
006840,AK홀딩스,-14293650,3248710,7839440,3205500,6390.0,-1.690000057220459,151846460.0
027410,BGF,-10325600,14735050,-4409450,0,3850.0,-4.699999809265137,354706813.0
282330,BGF리테일,-440031700,1455115250,-999518950,-15564600,124000.0,-1.2000000476837158,5623448000.0
138930,BNK금융지주,3291951925,2775095140,-6437880165,370833100,17270.0,-4.690000057220459,19073821040.0
001460,BYC,18386900,-41509750,22969600,153250,30650.0,-6.130000114440918,187304350.0
001465,BYC우,-13718800,-855600,14574400,0,21200.0,-9.59000015258789,95351750.0
001040,CJ,938514400,-321080100,-642239900,24805600,125400.0,-6.349999904632568,9438702550.0
079160,CJ CGV,-60778249,240616656,-157596117,-22242290,4805.0,-3.9000000953674316,2202583110.0
00104K,CJ4우(전환),-115900850,115686700,35668150,-35454000,124900.0,-5.239999771118164,1084571350.0
000120,CJ대한통운,-35191250,229201550,-199471000,5460700,73100.0,-2.5299999713897705,2898491050.0
011150,CJ씨푸드,38758194,-1505741,-37252453,0,1958.0,-3.309999942779541,144084934.0
011155,CJ씨푸드1우,13840,34600,-48440,0,6920.0,29.829999923706055,118577860.0
001045,CJ우,-11969000,14515500,-3285300,738800,67600.0,-2.7300000190734863,470672850.0
097950,CJ제일제당,-638846350,1425062300,-975338250,189122300,187300.0,-3.75,8557356850.0
097955,CJ제일제당 우,-211352800,-350300,230550900,-18847800,121700.0,-2.640000104904175,910093550.0
000480,CR홀딩스,-48150275,16799670,30423105,927500,4625.0,-1.2799999713897705,173968755.0
000590,CS홀딩스,15661150,6433600,-22094750,0,62800.0,-5.559999942779541,271311850.0
012030,DB,108204876,72883898,-183287774,2199000,1436.0,-7.349999904632568,917063434.0
005830,DB손해보험,-1656489300,9947113050,-8290300550,-323200,159000.0,-2.690000057220459,38083219800.0
016610,DB증권,68728420,-24154140,-96603130,52028850,8400.0,-5.300000190734863,739957610.0
000990,DB하이텍,905701800,-12887332050,12267669650,-286039400,84800.0,-14.079999923706055,42829140000.0
001530,DI동일,-208130800,781652450,-670164500,96642850,23650.0,-3.069999933242798,1227725450.0
015590,DKME,-54945715,-1788704,-22433399,79167818,1759.0,-4.400000095367432,169509117.0
000210,DL,80439800,108809750,-180812900,-8436650,44700.0,-7.739999771118164,1845996625.0
000215,DL우,21791450,1354250,-23207700,62000,21050.0,-3.440000057220459,199661850.0
375500,DL이앤씨,1356997850,-165889000,-1103247250,-87861600,57500.0,-10.020000457763672,16320031100.0
37550L,DL이앤씨2우(전환),-88974650,96136150,-7549500,388000,38500.0,-9.40999984741211,284958400.0
37550K,DL이앤씨우,-26796700,43400,26100800,652500,21950.0,-5.179999828338623,153317150.0
007340,DN오토모티브,-803525400,679087250,159098000,-34659850,36650.0,-4.429999828338623,4694197100.0
004840,DRB동일,-121170,-5095,83515,42750,4275.0,-2.8399999141693115,29216375.0
155660,DSR,-80479115,-210075,66689165,14000025,4380.0,-4.050000190734863,300550660.0
069730,DSR제강,6236500,365700,-6602200,0,5540.0,-4.150000095367432,320944710.0
017860,DS단석,384566435,-399855245,-6411090,21699900,11000.0,-2.8299999237060547,2851304345.0
092780,DYP,-7450805,3555890,3894915,0,3180.0,-3.3399999141693115,62067740.0
017940,E1,-400491450,134732500,258803950,6955000,87000.0,-3.2300000190734863,1042558200.0
365550,ESR켄달스퀘어리츠,-76525902,268482820,-195255378,3298460,3335.0,-0.6000000238418579,1370694375.0
383220,F&F,-321814250,-138677050,459289700,1201600,76700.0,-1.409999966621399,3153316150.0
007700,F&F홀딩스,50046970,5211180,-51090840,-4167310,13300.0,-5.269999980926514,445042760.0
114090,GKL,-599254645,179927370,418173675,1153600,9320.0,-3.9200000762939453,1563598395.0
078930,GS,-3687157950,7766036450,-3911810600,-167067900,87500.0,-4.480000019073486,32020555450.0
006360,GS건설,13726263300,-6639245725,-8313389450,1226371875,25500.0,-12.369999885559082,67198203050.0
001250,GS글로벌,-553507157,1129278,551371879,1006000,2495.0,-7.590000152587891,2318866861.0
007070,GS리테일,-146321175,437868225,-283863200,-7683850,24500.0,-3.9200000762939453,4058529825.0
078935,GS우,18183400,1900,-24161300,5976000,54500.0,-5.710000038146973,360024650.0
499790,GS피앤엘,-237642975,-99519700,332566375,4596300,35400.0,-6.71999979019165,1802060700.0
012630,HDC,-30885975,157995600,-86429955,-40679670,20050.0,-7.179999828338623,1195143855.0
039570,HDC랩스,49776890,-3082650,-88544240,41850000,7330.0,-2.9100000858306885,377019100.0
089470,HDC현대EP,-47069215,24386745,22682470,0,3700.0,-2.119999885559082,297860775.0
267270,HD건설기계,-5778727250,5889441700,274612150,-385326600,122800.0,-8.770000457763672,30616741650.0
009540,HD한국조선해양,-386686500,-2246855500,2514576000,118966000,354000.0,-6.46999979019165,71856974500.0
267250,HD현대,-389576950,2424154450,-2036400400,1822900,194600.0,-7.550000190734863,32542097650.0
443060,HD현대마린솔루션,-1569265050,1121206400,494826950,-46768300,192000.0,-6.800000190734863,16395161000.0
071970,HD현대마린엔진,3152175000,-1103256900,-2177589100,128671000,54700.0,-16.6200008392334,20157092100.0
322000,HD현대에너지솔루션,534351700,-7869418950,7809039750,-473972500,111700.0,-17.139999389648438,49709495000.0
267260,HD현대일렉트릭,8253689500,-5097035500,-3064334000,-92320000,705000.0,-11.539999961853027,142170902000.0
329180,HD현대중공업,-25522076750,2828077000,24453847750,-1759848000,451000.0,-7.300000190734863,163731347000.0
