종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,160186415,-32238025,-49283415,-78664975,4090.0,-2.619999885559082,1692389640.0
006840,AK홀딩스,-65361620,-1487780,66849400,0,6460.0,1.100000023841858,171751465.0
027410,BGF,-113008320,-53171005,173448605,-7269280,3785.0,-1.690000057220459,570330010.0
282330,BGF리테일,-777717400,-1908236000,2692768200,-6814800,124800.0,0.6499999761581421,10005067450.0
138930,BNK금융지주,12209242815,13391476975,-27741319110,2140599320,14960.0,-13.380000114440918,52153281440.0
001460,BYC,8515850,1257300,-9743700,-29450,31050.0,1.309999942779541,109726450.0
001465,BYC우,-4375550,-646200,5021750,0,21400.0,0.9399999976158142,35300150.0
001040,CJ,-3077097300,2887743150,273898850,-84544700,124400.0,-0.800000011920929,19923296550.0
079160,CJ CGV,-664227930,231976040,384920080,47331810,4770.0,-0.7300000190734863,2933538282.0
00104K,CJ4우(전환),-452069100,134539700,257276900,60252500,123700.0,-0.9599999785423279,2074411600.0
000120,CJ대한통운,108336600,346968700,-455407600,102300,70700.0,-3.2799999713897705,5101017400.0
011150,CJ씨푸드,-79513453,347703,79165750,0,1860.0,-5.010000228881836,242399920.0
011155,CJ씨푸드1우,420350,-452600,32250,0,5020.0,-27.459999084472656,240383380.0
001045,CJ우,107009100,-29777200,-69256100,-7975800,64700.0,-4.289999961853027,628388700.0
097950,CJ제일제당,-5859524300,1797316750,4176086050,-113878500,190600.0,1.7599999904632568,19828852350.0
097955,CJ제일제당 우,-479469900,-35572300,516659400,-1617200,122800.0,0.8999999761581421,1328957700.0
000480,CR홀딩스,-54869310,2858220,52011090,0,4560.0,-1.409999966621399,262953790.0
000590,CS홀딩스,-33800600,7499600,26301000,0,61000.0,-2.869999885559082,130370300.0
012030,DB,130948274,90013947,-223195373,2233152,1311.0,-8.699999809265137,1397408445.0
005830,DB손해보험,-482655900,6390870400,-5856462500,-51752000,154700.0,-2.700000047683716,32191414200.0
016610,DB증권,-67016415,123409750,-117924365,61531030,7920.0,-5.710000038146973,1330230625.0
000990,DB하이텍,-1088605750,-3511301750,4596396500,3511000,74900.0,-11.670000076293945,57167446350.0
001530,DI동일,-231489400,168726450,-136139150,198902100,22850.0,-3.380000114440918,772243950.0
015590,DKME,16373372,83802,-29485429,13028255,1588.0,-9.720000267028809,168311189.0
000210,DL,105606300,122836375,-233901225,5458550,41150.0,-7.940000057220459,3293169650.0
