종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,37277335,-58741121,13304681,8159105,4340.0,0.23000000417232513,650172540.0
006840,AK홀딩스,1347935,4181050,-7301195,1772210,7700.0,0.0,38348365.0
027410,BGF,14346972,-8394982,-4775550,-1176440,3915.0,-1.3899999856948853,232579812.0
282330,BGF리테일,37579300,-905371500,914596700,-46804500,141400.0,-0.9800000190734863,7235412500.0
138930,BNK금융지주,-3224309130,-1471416590,4804099820,-108374100,14310.0,0.07000000029802322,17364413705.0
001460,BYC,-6868400,15250200,-7619700,-762100,37000.0,1.090000033378601,63998600.0
001465,BYC우,-26286000,26800100,-514100,0,26750.0,-0.7400000095367432,61579900.0
001040,CJ,1850013800,-12184681400,10073876800,260790800,121300.0,-1.2999999523162842,25529098900.0
079160,CJ CGV,125830945,-48808990,-87654405,10632450,5100.0,-2.109999895095825,2284314440.0
00104K,CJ4우(전환),-156009750,150296050,5713700,0,117500.0,-1.090000033378601,963800450.0
000120,CJ대한통운,309414550,-74995000,-112385450,-122034100,73400.0,-0.14000000059604645,2010349650.0
011150,CJ씨푸드,-3717106,1325072,412034,1980000,2015.0,-0.25,95709235.0
011155,CJ씨푸드1우,-7200,0,7200,0,6890.0,3.450000047683716,91973000.0
001045,CJ우,130701300,-42475200,-100163700,11937600,69700.0,-1.1299999952316284,249259100.0
097950,CJ제일제당,286107250,3163444200,-3545665150,96113700,184000.0,-0.4300000071525574,10186145950.0
097955,CJ제일제당 우,28121000,-12346700,25710400,-41484700,126100.0,0.7200000286102295,523536750.0
000480,CR홀딩스,110795320,4062140,-114857460,0,4500.0,-1.3200000524520874,164565010.0
000590,CS홀딩스,7335800,2294800,-9630600,0,67600.0,0.30000001192092896,93041800.0
012030,DB,116780530,102966287,-224808317,5061500,1458.0,-2.4700000286102295,521360748.0
005830,DB손해보험,-342131900,-14079890000,14679064500,-257042600,177800.0,0.23000000417232513,54794085200.0
016610,DB증권,-19317740,16171280,3864840,-718380,9220.0,-1.600000023841858,408376930.0
000990,DB하이텍,8922337500,-28277271200,19369099500,-14165800,89700.0,-7.429999828338623,55211963550.0
001530,DI동일,-54832700,257276050,-246043850,43600500,23950.0,-1.2400000095367432,463693300.0
015590,DKME,27486439,926620,-28413059,0,1470.0,-5.039999961853027,75620523.0
000210,DL,-197751200,89745525,105510675,2495000,46700.0,-4.599999904632568,2162112650.0
000215,DL우,15117825,-702850,-6080975,-8334000,23200.0,-1.4900000095367432,59520975.0
375500,DL이앤씨,-696409650,-2119484450,2795972000,19922100,68200.0,-4.210000038146973,15420429600.0
37550L,DL이앤씨2우(전환),-4303200,19452000,-17269100,2120300,46200.0,0.0,34568500.0
37550K,DL이앤씨우,-31439500,495200,29509400,1434900,24700.0,-1.9800000190734863,103199050.0
007340,DN오토모티브,759073825,290017350,-1206600075,157508900,44200.0,-5.25,19455794900.0
004840,DRB동일,3186170,839040,-4025210,0,4245.0,-1.7400000095367432,112043325.0
155660,DSR,-14924127,-1467738,9423365,6968500,4380.0,-1.6799999475479126,199588031.0
069730,DSR제강,32326790,1454490,-26353200,-7428080,5450.0,-2.1500000953674316,163175520.0
017860,DS단석,237450655,-8580915,-242316450,13446710,11080.0,-4.730000019073486,681382370.0
092780,DYP,12022340,785250,-12807590,0,3415.0,-3.5299999713897705,27501840.0
017940,E1,90307300,145437700,-166328000,-69417000,92400.0,-0.8600000143051147,986408600.0
365550,ESR켄달스퀘어리츠,447990036,-40058289,-407603672,-328075,2985.0,-0.5,1281282950.0
383220,F&F,255851400,-534609050,275099250,3658400,62200.0,0.47999998927116394,2489018400.0
007700,F&F홀딩스,35411790,-3666520,-31690270,-55000,13990.0,-0.07000000029802322,192142420.0
114090,GKL,368068475,-11307850,-371462025,14701400,9060.0,-1.309999942779541,825266995.0
078930,GS,-3664502700,13190874100,-9180988950,-345382450,116200.0,2.2899999618530273,66349085950.0
006360,GS건설,-2620894425,-8493582125,11647666700,-533190150,33250.0,-6.599999904632568,83113224775.0
001250,GS글로벌,139256421,4744395,-144000816,0,2600.0,-1.3300000429153442,671469221.0
007070,GS리테일,-138564500,-1953117775,2080888025,10794250,25800.0,-3.369999885559082,5660263325.0
078935,GS우,-60144850,89870100,-10700150,-19025100,63400.0,0.47999998927116394,295418050.0
499790,GS피앤엘,-441734700,519337700,-163261500,85658500,39800.0,-0.3799999952316284,1917482000.0
012630,HDC,134219525,-137390950,4407425,-1236000,21150.0,-0.699999988079071,502713925.0
039570,HDC랩스,29463690,-2071090,-27392600,0,7610.0,-0.25999999046325684,65198885.0
089470,HDC현대EP,18588700,2794095,-21382795,0,3800.0,-3.309999942779541,226587880.0
267270,HD건설기계,6857314850,-9991647500,3474799850,-340467200,115500.0,-5.25,30970405600.0
009540,HD한국조선해양,839636000,-5300655750,4091270750,369749000,348500.0,-3.3299999237060547,53291927000.0
267250,HD현대,594767750,-3347115500,2400640250,351707500,213000.0,-3.8399999141693115,28534043750.0
443060,HD현대마린솔루션,-1932758450,-665262850,2595890000,2131300,197700.0,-2.609999895095825,17440871750.0
071970,HD현대마린엔진,2947881675,-75613350,-2931080975,58812650,49700.0,-7.099999904632568,13183427375.0
