종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,-160680680,113114450,47557770,8460,4280.0,2.1500000953674316,742033370.0
006840,AK홀딩스,4716160,113070,-5301030,471800,6680.0,3.4100000858306885,148220250.0
027410,BGF,8833228,-3874536,-4958692,0,4000.0,3.9000000953674316,498835085.0
282330,BGF리테일,95230250,-2231152700,2104713450,31209000,125000.0,-1.1100000143051147,19336267000.0
138930,BNK금융지주,2366675735,-918268115,-1749134070,300726450,15170.0,2.5,22499213480.0
001460,BYC,-5239050,2415200,-14721300,17545150,32100.0,5.590000152587891,98924900.0
001465,BYC우,1715500,0,-1715500,0,22550.0,4.639999866485596,12266350.0
001040,CJ,-2739780100,-5504400250,8895520750,-651340400,129400.0,4.190000057220459,16781146550.0
079160,CJ CGV,-26851725,-170741180,194259085,3333820,5410.0,-0.3700000047683716,4359985040.0
00104K,CJ4우(전환),-308949300,-42370800,351195600,124500,126100.0,2.109999895095825,2286488450.0
000120,CJ대한통운,648035250,455310550,-1111748150,8402350,74500.0,1.5,4363490850.0
011150,CJ씨푸드,-18331008,-504252,18835260,0,1932.0,2.009999990463257,48422542.0
011155,CJ씨푸드1우,-339990,0,339990,0,6790.0,4.139999866485596,136482090.0
001045,CJ우,67149400,5020500,-72169900,0,67800.0,1.7999999523162842,297943800.0
097950,CJ제일제당,1796039700,-284027850,-1634687350,122675500,191400.0,1.1100000143051147,10175492500.0
097955,CJ제일제당 우,-293147400,1822900,291324500,0,125000.0,2.630000114440918,700331850.0
000480,CR홀딩스,-1863395,76370,1787025,0,4625.0,1.4299999475479126,159027425.0
000590,CS홀딩스,-174000,-1638200,1812200,0,63700.0,3.5799999237060547,8610000.0
012030,DB,-274876254,98330177,176836703,-290626,1446.0,7.75,1090204511.0
005830,DB손해보험,479276450,-770662650,55668750,235717450,157000.0,-3.619999885559082,46307797300.0
016610,DB증권,-36122040,-13027280,49899060,-749740,8910.0,8.260000228881836,634625480.0
000990,DB하이텍,2971703400,2144397100,-5138756800,22656300,83100.0,16.709999084472656,68774672000.0
001530,DI동일,-12449375,37682300,-18752275,-6480650,23700.0,3.0399999618530273,392364875.0
015590,DKME,7504673,-11968,-7492705,0,1621.0,0.8700000047683716,169337080.0
000210,DL,606504850,-953108125,337005875,9597400,42950.0,3.25,4112362050.0
000215,DL우,-9809500,1358100,8451400,0,21150.0,3.930000066757202,61162350.0
375500,DL이앤씨,-1619082700,-1810840000,3466888200,-36965500,58500.0,8.130000114440918,22418090450.0
37550L,DL이앤씨2우(전환),-49966700,72266150,-20850400,-1449050,39850.0,9.180000305175781,203700000.0
37550K,DL이앤씨우,13452025,200,-13452225,0,21950.0,6.300000190734863,106103375.0
007340,DN오토모티브,1494969700,-963917725,-563177825,32125850,40350.0,4.260000228881836,9070016175.0
004840,DRB동일,2634660,-401055,-2216625,-16980,4330.0,4.340000152587891,319185460.0
155660,DSR,8203945,-994585,-7325610,116250,4310.0,0.4699999988079071,127908645.0
069730,DSR제강,49854270,-584790,-50121480,852000,5440.0,3.0299999713897705,128334100.0
017860,DS단석,-531242505,-866500,532109005,0,11030.0,5.650000095367432,1368661455.0
092780,DYP,9608505,6518955,-16319660,192200,3095.0,2.819999933242798,87179385.0
017940,E1,50433950,238316100,-308841250,20091200,87900.0,3.049999952316284,913945400.0
365550,ESR켄달스퀘어리츠,397357783,135840440,-534854053,1655830,3290.0,-3.799999952316284,988909177.0
383220,F&F,-1483412850,170455100,1677815050,-364857300,80500.0,2.0299999713897705,8420956250.0
007700,F&F홀딩스,-32030995,-18320450,49925405,426040,14540.0,-0.6800000071525574,389310015.0
114090,GKL,16354180,155356180,-172794620,1084260,9380.0,0.4300000071525574,1093237935.0
078930,GS,-7394818900,-6650323350,15228358550,-1183216300,89000.0,2.890000104904175,81488231050.0
006360,GS건설,13653987775,4728653675,-18473356050,90714600,23450.0,5.389999866485596,72344374250.0
001250,GS글로벌,302692360,-1669575,-301025230,2445,2515.0,4.139999866485596,1845984455.0
007070,GS리테일,-335437900,868884175,-533423775,-22500,24750.0,0.6100000143051147,7330118725.0
078935,GS우,2196900,10824700,-13021600,0,57000.0,1.9700000286102295,139753300.0
499790,GS피앤엘,1129606700,-2242270300,1030140825,82522775,35250.0,2.319999933242798,5723429275.0
012630,HDC,-44136270,81266630,-85550715,48420355,19960.0,4.5,1480567010.0
039570,HDC랩스,48131380,-4551990,-43871390,292000,7370.0,-1.600000023841858,101405330.0
089470,HDC현대EP,43738295,2759170,-46497465,0,3715.0,3.3399999141693115,233404255.0
267270,HD건설기계,-4810203000,3578574950,1276897550,-45269500,124900.0,9.369999885559082,32773180350.0
009540,HD한국조선해양,-6436350000,12968525500,-6436609500,-95566000,384500.0,4.340000152587891,107877044000.0
267250,HD현대,2092453000,1561041800,-3635893200,-17601600,199600.0,2.940000057220459,40352717850.0
443060,HD현대마린솔루션,3630128050,-11013259700,7415796650,-32665000,184000.0,1.8300000429153442,31176687750.0
071970,HD현대마린엔진,3370383300,-9911240075,7339649625,-798792850,49450.0,3.240000009536743,36045562175.0
322000,HD현대에너지솔루션,785505700,154863450,-576340150,-364029000,112100.0,10.880000114440918,41400547900.0
267260,HD현대일렉트릭,-10607702500,-8540138500,19642244000,-494403000,684000.0,17.31999969482422,171111132000.0
