종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,30957885,38996415,-70035580,81280,4300.0,0.3499999940395355,342177115.0
006840,AK홀딩스,-213030,-3185290,-167790,3566110,6050.0,0.6700000166893005,75817350.0
027410,BGF,63860670,-29053119,-34807551,0,3870.0,-1.7799999713897705,264150502.0
282330,BGF리테일,-108039600,-376620400,481351600,3308400,123700.0,0.6499999761581421,5771660728.0
138930,BNK금융지주,-1916894410,419862560,1542679430,-45647580,18100.0,2.259999990463257,14724961025.0
001460,BYC,-9848400,1656800,8032750,158850,31700.0,-1.090000033378601,31797500.0
001465,BYC우,-665450,200,665250,0,22950.0,-0.2199999988079071,1929250.0
001040,CJ,-1151695000,547259200,604646100,-210300,130100.0,1.090000033378601,9360040250.0
079160,CJ CGV,542355984,-113083,-542912941,670040,4390.0,-0.8999999761581421,1428746781.0
00104K,CJ4우(전환),-239272300,124147500,114997700,127100,128800.0,0.7799999713897705,1251276900.0
000120,CJ대한통운,80894850,26672350,-118249200,10682000,71300.0,-0.2800000011920929,1919060850.0
011150,CJ씨푸드,-37892445,14035,37878410,0,2005.0,0.4000000059604645,122004185.0
011155,CJ씨푸드1우,0,0,0,0,4490.0,-29.950000762939453,101517590.0
001045,CJ우,15422300,-722200,-14764900,64800,64400.0,0.1599999964237213,94047100.0
097950,CJ제일제당,171384000,381865700,-524328900,-28920800,186200.0,1.090000033378601,7368237500.0
097955,CJ제일제당 우,60198900,-5570500,-56039600,1411200,118700.0,0.5099999904632568,302128800.0
000480,CR홀딩스,113209367,555585,-113764952,0,4625.0,-5.800000190734863,276105872.0
000590,CS홀딩스,-13509800,19300,13490500,0,67600.0,1.649999976158142,74172200.0
012030,DB,-120913447,1174923,119738524,0,1454.0,0.8999999761581421,744217644.0
005830,DB손해보험,-2000879050,12173806300,-10006032950,-166894300,161700.0,1.7000000476837158,33034992650.0
016610,DB증권,137722385,4829340,-148314735,5763010,8770.0,-0.5699999928474426,594889525.0
000990,DB하이텍,-608126900,353032550,305083550,-49989200,104700.0,2.6500000953674316,23544289550.0
001530,DI동일,57233900,-103028700,-108659650,154454450,22550.0,0.2199999988079071,724323200.0
015590,DKME,-53235979,-2346721,17475435,38107265,1869.0,0.3799999952316284,118809549.0
000210,DL,-145902775,943521775,-798603400,984400,46000.0,4.550000190734863,4029221775.0
000215,DL우,1519960,542460,-2082670,20250,20450.0,2.25,10089850.0
375500,DL이앤씨,-2050328550,-962993150,3015187600,-1865900,59000.0,1.899999976158142,11328217700.0
