종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금,시가총액
005930,삼성전자,3570705,891441634000,-1817020.0,-454330729250.0,-3485018.0,-872397653000.0,1713080.0,430731500750.0,249000,-4.05,4451205430026,1455723373392000
000660,SK하이닉스,906398,1547541265500,-266205.0,-453628876000.0,-1219445.0,-2088964760000.0,575319.0,988290097500.0,1697000,-6.35,6841208433716,1239645543405000
005935,삼성전자우,1109452,205688668050,4902.0,1009700100.0,-1136700.0,-210833802100.0,15424.0,2849076450.0,183400,-5.12,593455236300,147154878630200
402340,SK스퀘어,172362,174202564500,-116560.0,-117783936000.0,-58984.0,-59610927500.0,4479.0,4533596000.0,1000000,-8.17,530072197000,131923998000000
009150,삼성전기,149020,198754903500,-52592.0,-69887446500.0,-99546.0,-133029590000.0,1922.0,2565894500.0,1337000,-4.5,637696789000,99865471552000
373220,LG에너지솔루션,25288,8869293250,-11257.0,-3915858250.0,-5482.0,-1938650000.0,-8387.0,-2957074500.0,351500,-2.36,67989803250,82251000000000
005380,현대차,50847,18699508250,-88507.0,-32590332250.0,37149.0,13699736500.0,-380.0,-137426500.0,371500,-2.88,188919609750,76067510069000
207940,삼성바이오로직스,-2029,-2920311000,-393.0,-463504500.0,2409.0,3366456500.0,-20.0,-28889000.0,1420000,0.35,46039239000,65733150420000
105560,KB금융,-45279,-8263090550,46806.0,8321390850.0,-1338.0,-24272100.0,-50.0,-9207100.0,181600,2.08,198216977902,64411292494400
032830,삼성생명,15456,4493941000,20925.0,6249989750.0,-36146.0,-10671980500.0,-249.0,-75625250.0,298000,-3.09,129981905250,59600000000000
012450,한화에어로스페이스,-26265,-29476098500,12869.0,14759839000.0,10973.0,11961780500.0,2535.0,2881657000.0,1137000,5.18,220523609000,58627586937000
028260,삼성물산,-643,-355816000,2821.0,1184178750.0,-2656.0,-993149750.0,341.0,116603500.0,358500,-2.32,108444529000,58137077788500
034020,두산에너빌리티,1074146,94805747200,-536504.0,-47193017150.0,-510494.0,-45251347350.0,-31535.0,-2741958400.0,87000,-4.19,283631970350,55728819702000
055550,신한지주,-52509,-6024790850,134893.0,15448774500.0,-82024.0,-9389084150.0,-1234.0,-135191800.0,114600,1.51,104756876250,53798997389400
329180,HD현대중공업,10603,5041998000,-4787.0,-2227718500.0,-9477.0,-4567566250.0,3999.0,1914879000.0,479000,0.0,140569781250,50276426775000
000270,기아,82555,10151116550,-56165.0,-6833285300.0,-27520.0,-3454644400.0,781.0,93606900.0,124200,-1.9,60328076650,48489294351600
006400,삼성SDI,47689,25460318000,-87721.0,-46802401500.0,40217.0,21443467000.0,-492.0,-265803000.0,532000,-2.39,178242648000,42871501960000
068270,셀트리온,-58722,-10575471150,-74763.0,-13315088000.0,51147.0,9163363400.0,82278.0,14716682450.0,178800,0.34,70608819600,41591951068800
034730,SK,-5450,-3138079500,-8744.0,-4944973500.0,14523.0,8271742000.0,-346.0,-198151000.0,570000,-2.56,44434017500,41326540710000
086790,하나금융지주,-53242,-7481964100,-33247.0,-4589912200.0,90985.0,12702658250.0,-4440.0,-622735650.0,140800,2.18,99557101250,38152563328000
012330,현대모비스,16506,6549821250,-57328.0,-22821098750.0,42950.0,17115702500.0,-2024.0,-803312250.0,400000,-3.73,79847513500,35928234000000
066570,LG전자,-49508,-9923729800,-17995.0,-3443845650.0,70073.0,13873389400.0,-3295.0,-649229650.0,198200,-0.65,101764563800,32283735251600
035420,NAVER,-20187,-4205471500,-40864.0,-8269964250.0,60707.0,12413212000.0,-65.0,-20911250.0,204000,-1.21,78479298250,31027251276000
000810,삼성화재,975,634707500,-5759.0,-3850950500.0,4677.0,3144985000.0,109.0,72606000.0,675000,-1.6,42787399500,30137044275000
010120,LS ELECTRIC,10324,1956815050,-6952.0,-1330452150.0,-4324.0,-816531300.0,862.0,172280000.0,199300,-2.54,62147337300,29895000000000
316140,우리금융지주,-1081953,-39236209575,-98521.0,-3421663175.0,1195619.0,43207498975.0,-11473.0,-417671425.0,36850,4.99,170843892350,27150584625450
267260,HD현대일렉트릭,-3283,-2448680500,-221.0,-131328500.0,3442.0,2535985000.0,32.0,22990000.0,739000,-1.07,37426542000,26638832765000
042660,한화오션,-113962,-9792113450,6090.0,524534650.0,107054.0,9198015850.0,722.0,61204400.0,85900,0.35,47023524200,26320910544600
298040,효성중공업,1448,3883721500,-1685.0,-4633150500.0,183.0,599806000.0,38.0,105014000.0,2803000,-1.79,56564699000,26136708044000
005490,POSCO홀딩스,-27749,-9063210500,22078.0,7232935000.0,7449.0,2407987000.0,-1459.0,-474845000.0,326000,-2.4,76134245750,25832737802000
009540,HD한국조선해양,-3726,-1351090000,-752.0,-257953750.0,4257.0,1528642250.0,251.0,91215500.0,363500,-0.55,33291906250,25726027666000
010130,고려아연,1850,2139411500,-4712.0,-5454009500.0,2744.0,3178566000.0,105.0,121006000.0,1163000,-1.36,17464441000,24275262947000
096770,SK이노베이션,7467,1053003600,-96152.0,-13105048500.0,89666.0,12188715700.0,-732.0,-101524750.0,136700,-5.59,128595861100,23109516119600
