종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,-397981768,75916935,321996558,68275,4560.0,2.930000066757202,850925660.0
006840,AK홀딩스,-2066940,-1840270,3796060,111150,7490.0,0.5400000214576721,39876880.0
027410,BGF,2976303,3510112,-4648760,-1837655,4185.0,1.5800000429153442,642435325.0
282330,BGF리테일,-1339207100,-1245618050,2589608350,-4783200,151000.0,-1.3700000047683716,8894498700.0
138930,BNK금융지주,4840305935,-1008608285,-3940945500,109247850,14950.0,-1.3200000524520874,16517939550.0
001460,BYC,-9296250,5086550,2972650,1237050,37150.0,-2.880000114440918,134920150.0
001465,BYC우,-3030200,4963550,-1933350,0,24900.0,-1.5800000429153442,9862450.0
001040,CJ,409410450,-646163200,224275650,12477100,145700.0,0.0,7203484000.0
079160,CJ CGV,-338423615,278350945,61174500,-1101830,5570.0,0.18000000715255737,4708112635.0
00104K,CJ4우(전환),153621600,667400,-153619000,-670000,135000.0,-0.3700000047683716,568901800.0
000120,CJ대한통운,605994450,442664300,-1049049750,391000,78700.0,-0.3799999952316284,2582168500.0
011150,CJ씨푸드,-77814070,4110,75863800,1946160,2055.0,1.9900000095367432,188523148.0
011155,CJ씨푸드1우,14080,0,-14080,0,6360.0,-12.279999732971191,112043240.0
001045,CJ우,12198100,1911900,-14110000,0,75700.0,-0.38999998569488525,129770700.0
097950,CJ제일제당,-548625500,1433693750,-889166750,4098500,205500.0,0.49000000953674316,7712162500.0
097955,CJ제일제당 우,61271100,-471500,-61053800,254200,127300.0,0.23999999463558197,256321750.0
000480,CR홀딩스,-855695,112390,743305,0,4700.0,0.0,30515295.0
000590,CS홀딩스,-31596200,-7392900,38989100,0,68700.0,4.25,139453800.0
012030,DB,-184802324,-833016,185635340,0,1555.0,6.579999923706055,872820870.0
005830,DB손해보험,747310450,4534128650,-5302293500,20854400,162300.0,-2.1700000762939453,14877808650.0
016610,DB증권,-21428040,-3476370,24623670,280740,9240.0,1.090000033378601,232906780.0
000990,DB하이텍,-9020331100,207342450,8805435950,7552700,91900.0,9.270000457763672,36777379400.0
001530,DI동일,-147723950,112314900,45111250,-9702200,24950.0,1.4199999570846558,475697250.0
015590,DKME,-16000475,0,16000475,0,1661.0,0.05999999865889549,53184841.0
000210,DL,-137727350,-162553050,296641800,3638600,51700.0,1.5700000524520874,2823204600.0
000215,DL우,-4277550,205050,5654700,-1582200,23400.0,1.7400000095367432,20432700.0
375500,DL이앤씨,-1858946450,2243835000,-384893150,4600,72900.0,1.25,15417849050.0
