종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,-28487253,74858383,-77273585,30902455,3980.0,-2.450000047683716,661529548.0
006840,AK홀딩스,53465700,-53380900,-84800,0,5930.0,1.3700000047683716,202958450.0
027410,BGF,27441400,-105703885,78262485,0,3705.0,-3.009999990463257,805102872.0
282330,BGF리테일,-312400100,-1264338150,1563719450,13018800,118000.0,0.9399999976158142,16048484200.0
138930,BNK금융지주,1288190240,-2896157625,1879880295,-271912910,16300.0,-0.7900000214576721,16404251145.0
001460,BYC,33331650,371600,-33734750,31500,32800.0,-0.46000000834465027,77546350.0
001465,BYC우,-2214300,100,2214200,0,22550.0,1.350000023841858,15119750.0
001040,CJ,1096507150,-3064254700,1277335000,690412550,159400.0,-1.2400000095367432,16938988750.0
079160,CJ CGV,536955665,-176938566,-382167099,22150000,4385.0,-2.119999885559082,1460070599.0
00104K,CJ4우(전환),-7890000,152034850,-147082000,2937150,154800.0,-1.090000033378601,1335241150.0
000120,CJ대한통운,10655100,-966073350,560525250,394893000,74100.0,-0.6700000166893005,4471227300.0
011150,CJ씨푸드,-22701835,-778384,23480219,0,1861.0,-0.75,104638253.0
011155,CJ씨푸드1우,0,0,0,0,9150.0,-1.7200000286102295,814800.0
001045,CJ우,154032500,-1055100,-152977400,0,68600.0,-1.2899999618530273,315939300.0
097950,CJ제일제당,11811985900,-672119100,-11496127300,356260500,179600.0,-5.46999979019165,22417860800.0
097955,CJ제일제당 우,-32594400,-35039700,67155150,478950,117900.0,-1.75,1055544200.0
000480,CR홀딩스,-22085640,15802235,6283405,0,4670.0,0.8600000143051147,185997570.0
000590,CS홀딩스,961300,-1166000,204700,0,68500.0,-0.15000000596046448,4254850.0
012030,DB,-467699292,-1737963,469439125,-1870,1862.0,6.400000095367432,1680979581.0
005830,DB손해보험,1210294000,-1118360950,-1151409550,1059476500,136000.0,-0.949999988079071,26901107450.0
016610,DB증권,-14666695,-29910110,21356035,23220770,9280.0,0.4300000071525574,726479285.0
000990,DB하이텍,-6206180600,16048869600,-10340784300,498095300,158000.0,3.6700000762939453,137827828200.0
001530,DI동일,-4070350,75287350,-283387750,212170750,21400.0,-3.390000104904175,870904000.0
015590,DKME,26387741,1991360,-28376301,-2800,1905.0,-1.909999966621399,249204878.0
000210,DL,12314675,-1935264300,1922468925,480700,43800.0,-2.3399999141693115,5147553775.0
000215,DL우,-5254950,6339950,-1126300,41300,20550.0,-2.8399999141693115,56331800.0
375500,DL이앤씨,-5138961350,-494777800,5807574700,-173835550,61900.0,0.0,28448685500.0
37550L,DL이앤씨2우(전환),-39947700,68119950,-13567250,-14605000,41000.0,1.4900000095367432,244178250.0
37550K,DL이앤씨우,15356025,110750,-15600775,134000,21550.0,-1.149999976158142,77546925.0
007340,DN오토모티브,637554775,1046868100,-1666090525,-18332350,36700.0,-3.549999952316284,7307000150.0
004840,DRB동일,79304215,-51828250,-27475965,0,3935.0,-1.25,159045860.0
155660,DSR,-5712300,-11271145,973485,16009960,4085.0,0.49000000953674316,196672320.0
069730,DSR제강,-63635435,3793390,54847965,4994080,5000.0,-0.9900000095367432,364184325.0
017860,DS단석,-69197055,-919470,70033735,82790,11400.0,-4.199999809265137,886321700.0
092780,DYP,26504500,-10066310,-16438190,0,3410.0,-4.880000114440918,137492120.0
017940,E1,422670650,-20933500,-373522750,-28214400,78800.0,-0.8799999952316284,1386039600.0
365550,ESR켄달스퀘어리츠,114118912,340893745,-470557757,15545100,3445.0,0.4399999976158142,1154059960.0
383220,F&F,-176249400,-413881100,494532500,95598000,74300.0,1.090000033378601,6153627550.0
007700,F&F홀딩스,3614515,3102120,-6716635,0,14530.0,-0.4099999964237213,141695275.0
114090,GKL,788865485,-714025680,-229935595,155095790,10720.0,-1.4700000286102295,2033934215.0
078930,GS,-2627112550,-3106015700,5650284250,82844000,64200.0,-2.869999885559082,20185804700.0
006360,GS건설,-149234925,-50435700,173716175,25954450,24300.0,-2.990000009536743,14030727650.0
001250,GS글로벌,480952181,-1083670,-481159026,1290515,2660.0,1.3300000429153442,3033682514.0
007070,GS리테일,-214344200,361634250,-148091550,801500,22300.0,-2.619999885559082,3620492700.0
078935,GS우,14975800,510700,-19078100,3591600,50600.0,-0.20000000298023224,329478000.0
499790,GS피앤엘,855551075,-2243641425,1379958500,8131850,35250.0,-1.9500000476837158,5150148850.0
012630,HDC,-78841255,-814054210,653940130,238955335,19440.0,-0.8199999928474426,1860763870.0
039570,HDC랩스,-40212465,6606170,32481345,1124950,7430.0,-0.800000011920929,123516375.0
089470,HDC현대EP,74874765,2976845,-77473450,-378160,3675.0,-3.2899999618530273,328224630.0
267270,HD건설기계,5438822600,-10512865350,4206055400,867987350,115200.0,-3.2699999809265137,46532844150.0
