종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,-758429975,509731350,248852135,-153510,4460.0,2.4100000858306885,1994762590.0
006840,AK홀딩스,-43435790,1583020,41852770,0,6360.0,0.6299999952316284,90265205.0
027410,BGF,-640524624,-20339839,660864463,0,4105.0,0.8600000143051147,1408616605.0
282330,BGF리테일,-3261548750,-1894416000,5156387150,-422400,129300.0,1.0199999809265137,15282336350.0
138930,BNK금융지주,-6402799425,4193633490,2471792385,-262626450,17670.0,5.050000190734863,24071674060.0
001460,BYC,-18900450,-9507350,28407800,0,37050.0,3.200000047683716,70013150.0
001465,BYC우,2263100,126100,-2389200,0,25300.0,1.6100000143051147,34570950.0
001040,CJ,2118522900,-7113291450,4408802650,585965900,174500.0,0.8700000047683716,33488965100.0
079160,CJ CGV,-229295499,232834119,-14297705,10759085,4505.0,1.690000057220459,1923964811.0
00104K,CJ4우(전환),-395714300,473058100,-78620550,1276750,163400.0,2.130000114440918,1322246350.0
000120,CJ대한통운,-145408700,-32344500,180551000,-2797800,82700.0,3.630000114440918,6787447400.0
011150,CJ씨푸드,-6711367,-341490,7052857,0,2110.0,3.690000057220459,138478088.0
011155,CJ씨푸드1우,0,0,0,0,9610.0,0.949999988079071,505660.0
001045,CJ우,26043000,93600,-26136600,0,73300.0,0.4099999964237213,262838800.0
097950,CJ제일제당,-183693750,626194600,-541194050,98693200,198700.0,2.049999952316284,12019828000.0
097955,CJ제일제당 우,-205877050,1962600,203914450,0,124300.0,2.299999952316284,755438800.0
000480,CR홀딩스,46098895,-1954675,-20533815,-23610405,4840.0,1.8899999856948853,282073435.0
000590,CS홀딩스,2306800,1442000,-3748800,0,71900.0,-1.100000023841858,16138100.0
012030,DB,-162767060,-187289274,354038802,-3982468,1969.0,3.0899999141693115,2384257394.0
005830,DB손해보험,-4340196100,64427350,4319837150,-44068400,148200.0,5.860000133514404,31598891500.0
016610,DB증권,254116915,-1752352475,1496653140,1582420,10730.0,3.6700000762939453,4252195565.0
000990,DB하이텍,-29464709000,159009219700,-130209545800,665035100,174300.0,12.3100004196167,440255167650.0
001530,DI동일,-419302775,-92126275,331939775,179489275,23250.0,3.559999942779541,1916304450.0
015590,DKME,-32764133,-22850,32786983,0,2040.0,-1.4500000476837158,363634342.0
000210,DL,-809704400,-840107150,1658678050,-8866500,54000.0,3.8499999046325684,6659912250.0
000215,DL우,41760175,210600,-41970775,0,23500.0,3.069999933242798,104209850.0
375500,DL이앤씨,2494683000,14573751700,-16764402700,-304032000,73900.0,5.269999980926514,60121060450.0
37550L,DL이앤씨2우(전환),-59049550,124159750,-87735200,22625000,45250.0,5.71999979019165,245053350.0
37550K,DL이앤씨우,20107700,23850,-20321550,190000,24300.0,6.579999923706055,205538700.0
007340,DN오토모티브,-335429450,-389203250,775201700,-50569000,40300.0,0.8799999952316284,5337647400.0
004840,DRB동일,3854689,13743495,-18489184,891000,4450.0,3.009999990463257,131355561.0
155660,DSR,-3032480,1357030,-355145,2030595,4280.0,2.880000114440918,177481595.0
069730,DSR제강,-35089380,-322700,36988080,-1576000,5290.0,2.319999933242798,177391990.0
017860,DS단석,-134151980,-38306670,169452150,3006500,14970.0,0.12999999523162842,1553373070.0
092780,DYP,-7939495,5614995,2324500,0,4385.0,1.3899999856948853,126829295.0
017940,E1,-367222800,919729200,-560132400,7626000,87600.0,3.180000066757202,2952051100.0
365550,ESR켄달스퀘어리츠,-26620075,-481390379,454239199,53771255,3635.0,-0.8199999928474426,3053979529.0
383220,F&F,-3099400950,5067340050,-1960567400,-7371700,85900.0,3.25,15596445000.0
007700,F&F홀딩스,87354495,-59310795,-28043700,0,16490.0,-0.6600000262260437,572180590.0
114090,GKL,530629080,-552993090,-645780850,668144860,12070.0,-1.9500000476837158,4422204225.0
078930,GS,139959150,-2016306650,1936907900,-60560400,72500.0,1.1200000047683716,20927963850.0
006360,GS건설,12758200575,-4044743125,-8684350975,-29106475,28800.0,9.920000076293945,64261230675.0
001250,GS글로벌,-426530627,1449945,420315497,4765185,2980.0,5.110000133514404,3213623866.0
007070,GS리테일,-1043054975,1509218300,-466947425,784100,24550.0,3.369999885559082,6283014900.0
078935,GS우,83040650,-7353900,-75954650,267900,53600.0,2.0999999046325684,198775300.0
499790,GS피앤엘,727088725,-545407000,-158534125,-23147600,48200.0,-5.119999885559082,6615553500.0
012630,HDC,-350104300,-287591175,464489625,173205850,21150.0,6.5,1962088000.0
039570,HDC랩스,-68930710,-320120,69567630,-316800,7920.0,1.7999999523162842,179481780.0
089470,HDC현대EP,-90255,-3322200,3412455,0,4060.0,1.1200000047683716,405478630.0
267270,HD건설기계,29556634850,6446804350,-35565053100,-438386100,142600.0,-0.3499999940395355,100849464250.0
009540,HD한국조선해양,-15177409250,39493323500,-24119417250,-196497000,398000.0,5.989999771118164,119628261500.0
267250,HD현대,3139981000,-17781410750,14493706750,147723000,244000.0,-0.6100000143051147,47679617500.0
443060,HD현대마린솔루션,-4695909750,15036550750,-9910804750,-429836250,247500.0,0.8100000023841858,56957909000.0
071970,HD현대마린엔진,942730150,4251016850,-5242800800,49053800,66000.0,5.940000057220459,15143690000.0
322000,HD현대에너지솔루션,4149017350,3394742050,-7443958900,-99800500,150500.0,-1.6299999952316284,44175363500.0
267260,HD현대일렉트릭,-118011343000,266251353500,-147321231500,-918779000,1130000.0,9.390000343322754,527918304500.0
329180,HD현대중공업,1758797000,56363116000,-57336556000,-785357000,650000.0,0.6200000047683716,284741193500.0
097230,HJ중공업,-3027140200,2483452050,524421800,19266350,21600.0,3.8499999046325684,12531492400.0
014790,HL D&I,-128339459,-6623175,134960004,2630,2625.0,4.579999923706055,361028159.0
003580,HLB글로벌,-29399152,54223751,-24824599,0,1503.0,3.0199999809265137,297375169.0
204320,HL만도,-16429476900,-823382550,17265538850,-12679400,65000.0,30.0,74974976150.0
060980,HL홀딩스,-1288394675,355534425,923810350,9049900,46000.0,12.199999809265137,3330510425.0
011200,HMM,-17546461675,4363600460,6426384205,6756477010,20050.0,6.369999885559082,37237244330.0
035000,HS애드,-40029810,2846730,30642000,6541080,7480.0,0.5400000214576721,267757320.0
002460,HS화성,-48171490,211403260,-163194780,-36990,13330.0,9.4399995803833,1115997545.0
487570,HS효성,-89120500,4000900,85119800,-200,52700.0,4.980000019073486,481174650.0
298050,HS효성첨단소재,-578852850,-30882350,601312400,8422800,197900.0,1.7999999523162842,2567621000.0
015360,INVENI,-120399405,11790620,96642585,11966200,15330.0,3.0899999141693115,462819265.0
294870,IPARK현대산업개발,-235663125,79853680,156161775,-352330,19920.0,3.0,2736282465.0
175330,JB금융지주,-1514805825,7299104500,-6724781050,940482375,26700.0,2.690000057220459,23514260175.0
234080,JW생명과학,-86934800,1260500,89057480,-3383180,11410.0,2.059999942779541,392789050.0
001060,JW중외제약,-110681475,18485125,94672850,-2476500,27050.0,2.0799999237060547,1404450350.0
001067,JW중외제약2우B,0,0,0,0,45500.0,0.0,773050.0
001065,JW중외제약우,0,0,0,0,21150.0,-1.6299999952316284,8171150.0
096760,JW홀딩스,-2923585,-4117975,7041560,0,3850.0,1.9900000095367432,198325945.0
008970,KBI동양철관,-261429512,-797786,262227298,0,1421.0,5.260000228881836,1020321447.0
105560,KB금융,-54716634900,37952928000,22084242150,-5320535250,161200.0,6.400000095367432,253888292900.0
415640,KB발해인프라,-117993770,-479849825,591940585,5903010,9810.0,-0.9100000262260437,3507448200.0
432320,KB스타리츠,619356393,437458866,-1124246186,67430927,1504.0,-0.5299999713897705,4122592647.0
002380,KCC,-1125015000,-3473879000,5547325000,-948431000,504000.0,2.75,13911857500.0
344820,KCC글라스,-79174725,1333975,71127600,6713150,23100.0,5.239999771118164,506659500.0
009070,KCTC,-69950675,800899,70690601,-1540825,4445.0,4.710000038146973,614479232.0
