종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,-411388820,163974440,295184060,-47769680,4160.0,-0.11999999731779099,1267804360.0
006840,AK홀딩스,-45706430,-2903760,48792720,-182530,7350.0,6.829999923706055,164305050.0
027410,BGF,34453810,-109225780,74783970,-12000,3945.0,-0.12999999523162842,451100115.0
282330,BGF리테일,-261838100,-1714298900,1984098700,-7961700,125300.0,2.700000047683716,5008526400.0
138930,BNK금융지주,1367496495,-549471615,-1203543440,385518560,15110.0,0.12999999523162842,16204773455.0
001460,BYC,32794200,-65601950,11197700,21610050,35000.0,7.03000020980835,279709250.0
001465,BYC우,-94050,0,94050,0,23800.0,2.369999885559082,51589900.0
001040,CJ,-4334550,-3529953300,3651209450,-116921600,132000.0,0.6899999976158142,15437748750.0
079160,CJ CGV,-312763450,13450950,292378435,6934065,5190.0,4.21999979019165,1581285370.0
00104K,CJ4우(전환),-107418200,16200400,91217800,0,127000.0,0.3199999928474426,575271100.0
000120,CJ대한통운,-851312300,863269550,-13155150,1197900,76000.0,2.8399999141693115,3328471900.0
011150,CJ씨푸드,-22634663,87922,22546741,0,2000.0,2.0399999618530273,75366823.0
011155,CJ씨푸드1우,-2642400,161550,2480850,0,7480.0,-0.5299999713897705,100803030.0
001045,CJ우,7579200,-1200900,-6648000,269700,67600.0,-1.1699999570846558,331947600.0
097950,CJ제일제당,-1562915000,2942882150,-1101954550,-278012600,195100.0,1.9900000095367432,10109818200.0
097955,CJ제일제당 우,-110199500,-16851900,127051400,0,125400.0,0.800000011920929,264519800.0
000480,CR홀딩스,33200635,1187180,-34387815,0,4615.0,0.0,183183575.0
000590,CS홀딩스,-34243300,-238500,34481800,0,65600.0,2.819999933242798,98978400.0
012030,DB,56317856,38981100,-95298956,0,1444.0,2.049999952316284,716635531.0
005830,DB손해보험,795133450,-1975657600,140594250,1039929900,154800.0,-1.149999976158142,26867423950.0
016610,DB증권,62588920,3527290,-66855860,739650,8940.0,1.8200000524520874,447762270.0
000990,DB하이텍,3466957950,386595650,-4041222600,187669000,85000.0,5.070000171661377,38898223350.0
001530,DI동일,-107006000,27859900,208890050,-129743950,24350.0,3.4000000953674316,446810600.0
015590,DKME,-32205994,0,32205994,0,1688.0,7.449999809265137,79309620.0
000210,DL,-3571168725,5568215725,-2023322200,26275200,51900.0,12.949999809265137,13237756825.0
000215,DL우,-22518600,14012950,6183500,2322150,23050.0,5.730000019073486,62707900.0
375500,DL이앤씨,-5248566850,2784723400,2497286400,-33442950,66000.0,7.840000152587891,23367280500.0
