종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,131296026,-118293133,-28274248,15271355,4330.0,-0.5699999928474426,567600460.0
006840,AK홀딩스,-75139230,-5467740,77922510,2684460,7700.0,4.900000095367432,175134490.0
027410,BGF,95551943,-36732070,-58819873,0,3970.0,-1.6100000143051147,183507803.0
282330,BGF리테일,-1376926900,-2769115400,4157876700,-11834400,142800.0,0.0,14462565050.0
138930,BNK금융지주,5755246780,-546306545,-5306244325,97304090,14300.0,-2.4600000381469727,14618821010.0
001460,BYC,9462400,9950950,-21739600,2326250,36600.0,0.14000000059604645,68988700.0
001465,BYC우,-21728400,26838400,-5110000,0,26950.0,0.9399999976158142,59028050.0
001040,CJ,3417059750,-5203055050,1651620000,134375300,122900.0,0.07999999821186066,16530086250.0
079160,CJ CGV,1254116835,-469125890,-827947255,42956310,5210.0,2.559999942779541,9833535760.0
00104K,CJ4우(전환),-54812800,231232100,-176419300,0,118800.0,0.17000000178813934,635503200.0
000120,CJ대한통운,399228000,-105122100,-290852700,-3253200,73500.0,0.6800000071525574,2283327150.0
011150,CJ씨푸드,-13836585,1308185,12528400,0,2020.0,2.2799999713897705,47833674.0
011155,CJ씨푸드1우,-611880,0,611880,0,6660.0,2.619999885559082,24265980.0
001045,CJ우,153380350,3062100,-156582250,139800,70500.0,-0.14000000059604645,221373400.0
097950,CJ제일제당,-6862227550,4341633700,2800452450,-279858600,184800.0,2.609999895095825,24476916800.0
097955,CJ제일제당 우,36466950,16743400,-53835950,625600,125200.0,1.6200000047683716,472222550.0
000480,CR홀딩스,120643816,7759025,-128402841,0,4560.0,-1.940000057220459,242714153.0
000590,CS홀딩스,-4551500,1581400,2970100,0,67400.0,1.350000023841858,70077700.0
012030,DB,-194620039,83212968,110968571,438500,1495.0,3.0299999713897705,672841150.0
005830,DB손해보험,684192600,-939509250,220441850,34874800,177400.0,-5.389999866485596,40657237021.0
016610,DB증권,-38567660,6345390,27560470,4661800,9370.0,2.5199999809265137,475290410.0
000990,DB하이텍,3218821250,326457400,-3537154050,-8124600,96900.0,3.5299999713897705,22658063100.0
001530,DI동일,-19340850,237493100,-218152250,0,24250.0,1.0399999618530273,347811350.0
015590,DKME,-43099631,-1548,43101179,0,1548.0,4.03000020980835,118953602.0
000210,DL,565543425,-399934150,-157193875,-8415400,48950.0,-2.299999952316284,2251265275.0
000215,DL우,4505475,4539400,-11516625,2471750,23550.0,-1.8799999952316284,54531775.0
375500,DL이앤씨,-192241500,195194100,22036900,-24989500,71200.0,-0.8399999737739563,16565967350.0
37550L,DL이앤씨2우(전환),-35912550,38302950,-25915400,23525000,46200.0,-2.3299999237060547,177508050.0
37550K,DL이앤씨우,-22441150,50950,22390200,0,25200.0,0.20000000298023224,113749650.0
007340,DN오토모티브,6970193075,-1068383875,-5973599950,71790750,46650.0,-13.770000457763672,33878267725.0
004840,DRB동일,-4036215,1890485,2145730,0,4320.0,1.7699999809265137,87257405.0
155660,DSR,-12293260,-8266915,-4300855,24861030,4455.0,-3.259999990463257,253469485.0
069730,DSR제강,162100510,1669580,-161622890,-2147200,5570.0,-3.299999952316284,345654185.0
017860,DS단석,-30759365,-2979170,33738535,0,11630.0,1.5700000524520874,601138260.0
092780,DYP,9627520,17369715,-26997235,0,3540.0,2.4600000381469727,192694195.0
017940,E1,15278750,208343200,-222682950,-939000,93200.0,0.2199999988079071,969548950.0
365550,ESR켄달스퀘어리츠,1032463634,-41757063,-1020982991,30276420,3000.0,-2.759999990463257,2324840383.0
383220,F&F,1030457950,-1107596500,75840050,1298500,61900.0,-1.590000033378601,5027185650.0
007700,F&F홀딩스,57239580,-25199170,-31998190,-42220,14000.0,0.8600000143051147,287523990.0
114090,GKL,395831870,225727440,-621559310,0,9180.0,-0.2199999988079071,1033397480.0
078930,GS,-6658543200,-9626498150,16609874950,-324833600,113600.0,-5.099999904632568,67311398900.0
006360,GS건설,-4092003100,7840239650,-4018002125,269765575,35600.0,1.8600000143051147,81004061125.0
001250,GS글로벌,37196620,5464585,-45864050,3202845,2635.0,1.350000023841858,1068269684.0
007070,GS리테일,-473486750,643644375,-168054475,-2103150,26700.0,-0.7400000095367432,2968326050.0
078935,GS우,169027600,-42732000,-126167400,-128200,63100.0,-1.559999942779541,385965500.0
499790,GS피앤엘,197326875,245510575,-445309250,2471800,39950.0,-1.7200000286102295,1925871800.0
012630,HDC,104139750,-73794950,-22892800,-7452000,21300.0,-1.6200000047683716,460746575.0
039570,HDC랩스,9094885,5448390,-14844075,300800,7630.0,-0.7799999713897705,80577435.0
089470,HDC현대EP,76686023,3496415,-80182438,0,3930.0,-0.6299999952316284,175526673.0
267270,HD건설기계,19806100800,-12190109500,-7655324600,39333300,121900.0,-5.650000095367432,36694015200.0
009540,HD한국조선해양,8651881750,-12672230250,4413354000,-393005500,360500.0,-1.7699999809265137,48337268250.0
267250,HD현대,3696356250,-3854545000,-387928250,546117000,221500.0,-2.8499999046325684,28863936750.0
443060,HD현대마린솔루션,-2078480250,-2890574750,5295652000,-326597000,203000.0,-3.0999999046325684,19163340250.0
071970,HD현대마린엔진,2703448650,-1762601500,-968134350,27287200,53500.0,-1.1100000143051147,6347787250.0
322000,HD현대에너지솔루션,-10702417000,8313868250,2466526850,-77978100,139100.0,7.5,65174109650.0
267260,HD현대일렉트릭,12165179500,-18748255000,6390133500,192942000,746000.0,-0.800000011920929,74759490500.0
329180,HD현대중공업,10497822750,-19198692250,8356160000,344709500,475500.0,0.3199999928474426,79132963750.0
097230,HJ중공업,-1557259190,40528850,1549570430,-32840090,17640.0,3.700000047683716,3953660355.0
014790,HL D&I,35066215,-5026240,-30333960,293985,2525.0,1.809999942779541,130122819.0
