종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금,시가총액
005930,삼성전자,1379866,342347296000,-2321959.0,-578325279000.0,-1090810.0,-271643909000.0,2030132.0,506934931500.0,248500,-0.2,2849221682500,1452800234088000
000660,SK하이닉스,32096,50738241500,-101614.0,-171906605500.0,-586014.0,-997077943500.0,656354.0,1119648539500.0,1690000,-0.41,4647356240500,1234532096850000
005935,삼성전자우,-161385,-30661754150,259869.0,49227429400.0,-153407.0,-28938105250.0,48283.0,9127197700.0,187100,2.02,743695129900,150123652081300
402340,SK스퀘어,25015,25094800500,-62234.0,-62445163500.0,36908.0,37031591500.0,-56.0,-50818000.0,1000000,0.0,368634270500,131923998000000
009150,삼성전기,36879,48334959500,-58211.0,-77066768500.0,18619.0,25162865000.0,2257.0,2969963000.0,1317000,-1.5,415731774500,98371597632000
373220,LG에너지솔루션,-87619,-31991991250,112210.0,41026643000.0,1930.0,640955250.0,-26310.0,-9598849500.0,365500,3.98,122412326000,85527000000000
005380,현대차,8579,3103317250,-60664.0,-22407166750.0,52977.0,19634591000.0,82.0,29082500.0,367000,-1.21,106352338500,75146100122000
207940,삼성바이오로직스,-1177,-1673216500,904.0,1294512000.0,304.0,422430000.0,-9.0,-12727500.0,1412000,-0.56,35539455500,65362822812000
105560,KB금융,76329,13474868350,251835.0,44731895450.0,-325729.0,-57773667650.0,-2590.0,-460393550.0,175800,-3.19,205407915150,62354103637200
032830,삼성생명,83713,24156678500,-51225.0,-14732683000.0,-34311.0,-9950966500.0,1616.0,467189500.0,285500,-4.19,95062979250,57100000000000
028260,삼성물산,38628,13492651750,-43085.0,-15076048750.0,3983.0,1417028500.0,818.0,285528000.0,347000,-3.21,98550439000,56272150607000
034020,두산에너빌리티,789655,67704487950,-332164.0,-28436222400.0,-461055.0,-39575311750.0,-38.0,-1129000.0,86200,-0.92,188841018050,55216370785200
012450,한화에어로스페이스,26414,28186836500,-15245.0,-16334750000.0,-11419.0,-12117518000.0,197.0,209074500.0,1063000,-6.51,172649685500,54811895263000
055550,신한지주,24710,2765304450,57867.0,6526916300.0,-80999.0,-9114659500.0,-1677.0,-188598750.0,112200,-2.09,98913065966,52672316815800
329180,HD현대중공업,61153,27863385500,-52645.0,-23927723500.0,-8805.0,-4064678000.0,210.0,89603500.0,453500,-5.32,137995563500,47599915537500
000270,기아,95145,11652299600,-110732.0,-13595777950.0,14509.0,1810994500.0,832.0,102421400.0,121800,-1.93,58888553400,47552303156400
