종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,-311403128,-837265,316775903,-4535510,4290.0,2.880000114440918,404254287.0
006840,AK홀딩스,-22795870,-2256510,25154570,-102190,6400.0,5.789999961853027,90580160.0
027410,BGF,-54876319,5203820,49672499,0,3985.0,3.369999885559082,153552491.0
282330,BGF리테일,163600500,-1845603900,1680594600,1408800,118300.0,1.5499999523162842,6550842100.0
138930,BNK금융지주,694892255,-1102628875,346958370,60778250,17770.0,-0.05999999865889549,11167354830.0
001460,BYC,13089050,-7639550,-5769000,319500,32850.0,3.299999952316284,80419200.0
001465,BYC우,-861200,150,861050,0,23350.0,0.8600000143051147,1794700.0
001040,CJ,2885487050,-3937835950,1054880900,-2532000,133700.0,1.3600000143051147,16747734650.0
079160,CJ CGV,-1080517348,-1402230,1071387733,10531845,4710.0,7.170000076293945,2600300896.0
00104K,CJ4우(전환),-84286000,130475100,-46189100,0,131600.0,0.9200000166893005,868749500.0
000120,CJ대한통운,-1032057950,952605800,91390250,-11938100,76700.0,6.380000114440918,3339465400.0
011150,CJ씨푸드,-17288847,-61721,17350568,0,1991.0,-0.25,111645892.0
011155,CJ씨푸드1우,-18917280,-1827000,20744280,0,5220.0,29.850000381469727,53832470.0
001045,CJ우,-183636350,-17408350,200908000,136700,69600.0,3.880000114440918,329337050.0
097950,CJ제일제당,-2005186200,3696488900,-1681445500,-9857200,190200.0,2.5299999713897705,10158500750.0
097955,CJ제일제당 우,94975000,5769800,-100866800,122000,122900.0,0.7400000095367432,321785900.0
000480,CR홀딩스,2851965,-146890,-2705075,0,4640.0,0.6499999761581421,72252160.0
000590,CS홀딩스,-9443200,2283500,7159700,0,68900.0,0.4399999976158142,62581700.0
012030,DB,102636924,6944623,-109775831,194284,1540.0,3.9800000190734863,632366752.0
005830,DB손해보험,-647721200,6128227200,-5324888000,-155618000,165400.0,0.0,34439376550.0
016610,DB증권,359052595,-6106300,-358174375,5228080,9130.0,2.700000047683716,1038703925.0
000990,DB하이텍,947568000,314211450,-1242028350,-19751100,110100.0,3.9700000286102295,15946702000.0
001530,DI동일,-126775650,206910750,-80375900,240800,24300.0,4.739999771118164,490278100.0
015590,DKME,-55422427,-3968562,13273643,46117346,1864.0,0.7599999904632568,102608390.0
000210,DL,-1356489950,478526550,1016872400,-138909000,50900.0,10.649999618530273,8645033900.0
000215,DL우,-18824925,340950,18483975,0,21650.0,4.840000152587891,96582350.0
375500,DL이앤씨,-3514933000,-49993900,3473352250,91574650,65800.0,7.170000076293945,22555366250.0
37550L,DL이앤씨2우(전환),-235220450,176618650,58601800,0,43600.0,8.460000038146973,315959500.0
37550K,DL이앤씨우,9640275,67700,-9707975,0,23450.0,6.590000152587891,114640475.0
007340,DN오토모티브,454698300,1202418475,-1469020875,-188095900,40600.0,6.139999866485596,7415873350.0
004840,DRB동일,-2744980,-2054235,4799215,0,4385.0,0.800000011920929,40510260.0
155660,DSR,-45308310,23634782,22125528,-452000,4495.0,1.0099999904632568,101323340.0
069730,DSR제강,-39740520,22436670,17085110,218740,5780.0,2.4800000190734863,534483925.0
017860,DS단석,-646527910,-163380,693131290,-46440000,12040.0,8.369999885559082,1373369260.0
092780,DYP,-26911585,-144500,27056085,0,3415.0,2.25,63763685.0
017940,E1,-989348450,-27225150,1039356600,-22783000,91800.0,5.519999980926514,1876400550.0
365550,ESR켄달스퀘어리츠,147347540,21049475,-160041115,-8355900,3185.0,-0.7799999713897705,1086328370.0
383220,F&F,-415688950,585953250,-147655200,-22609100,76400.0,3.240000009536743,4055916150.0
007700,F&F홀딩스,-88125740,-19940470,108038910,27300,13930.0,3.190000057220459,350211415.0
114090,GKL,-524344495,-47903905,642666040,-70417640,9560.0,4.139999866485596,1330747785.0
078930,GS,-2779381600,4225730400,-2491612000,1045263200,93600.0,11.15999984741211,92897616750.0
006360,GS건설,-46160894575,29961521475,16526207425,-326834325,34400.0,18.209999084472656,263863214825.0
001250,GS글로벌,542433668,-217500,-552175738,9959570,2900.0,14.170000076293945,5110989391.0
007070,GS리테일,-650190650,452026050,198945350,-780750,25450.0,4.090000152587891,2920001725.0
078935,GS우,-278254950,158084700,83454050,36716200,58500.0,3.9100000858306885,550879200.0
499790,GS피앤엘,-424357600,-285686000,721988350,-11944750,39700.0,4.46999979019165,3089122300.0
012630,HDC,-28846670,62594800,-52987030,19238900,23100.0,15.90999984741211,4881290000.0
039570,HDC랩스,14442900,13845200,-27677300,-610800,7650.0,1.8600000143051147,160758500.0
089470,HDC현대EP,-39577055,8124300,31413320,39435,3785.0,5.730000019073486,176135175.0
267270,HD건설기계,-5658883600,9295459450,-3748883150,112307300,140300.0,10.470000267028809,55449484050.0
009540,HD한국조선해양,-2206211750,6299686500,-4392223250,298748500,381000.0,7.78000020980835,69431751500.0
267250,HD현대,-4396844000,15043105500,-10759688000,113426500,231500.0,9.199999809265137,46095838500.0
443060,HD현대마린솔루션,529818250,4948044750,-5272032000,-205831000,215000.0,7.230000019073486,17991261750.0
071970,HD현대마린엔진,3760376550,4093184000,-7872496650,18936100,67700.0,4.800000190734863,22127715350.0
322000,HD현대에너지솔루션,2419570900,14219732500,-17844081000,1204777600,171500.0,29.729999542236328,164962573800.0
267260,HD현대일렉트릭,-16791073000,-6225302000,22928664000,87711000,869000.0,9.3100004196167,108905799000.0
329180,HD현대중공업,-1593947000,11428433750,-10521824250,687337500,498000.0,7.210000038146973,129230331750.0
097230,HJ중공업,-851655880,921358890,-136451560,66748550,15920.0,7.349999904632568,7512673855.0
014790,HL D&I,-38908045,-3286500,42194545,0,2625.0,11.460000038146973,277425105.0
003580,HLB글로벌,21825978,-19190058,-2635920,0,1211.0,2.9800000190734863,288320360.0
204320,HL만도,1688992600,715220475,-2452676175,48463100,47250.0,2.7200000286102295,26665262250.0
