종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,-199674515,76017025,133212830,-9555340,4335.0,1.5199999809265137,508260295.0
006840,AK홀딩스,9076510,437690,-9806200,292000,5770.0,-0.8600000143051147,113544230.0
027410,BGF,-95594581,-21840855,117435436,0,3965.0,-0.6299999952316284,522721288.0
282330,BGF리테일,-982890000,5838421050,-4867212850,11681800,126200.0,2.5999999046325684,12696277250.0
138930,BNK금융지주,-153597430,5467042995,-5356957235,43511670,18470.0,-0.75,16575100515.0
001460,BYC,-7305700,1436550,5869150,0,35150.0,-0.7099999785423279,101406950.0
001465,BYC우,986200,0,-986200,0,23700.0,0.6399999856948853,31675400.0
001040,CJ,-1035194550,1346312800,-125460550,-185657700,153600.0,1.0499999523162842,20278861250.0
079160,CJ CGV,-283171432,4996940,278147072,27420,4605.0,1.659999966621399,1235419253.0
00104K,CJ4우(전환),-269528300,233412900,77686400,-41571000,147800.0,0.3400000035762787,1439997300.0
000120,CJ대한통운,-223833350,173759050,46853100,3221200,76700.0,0.38999998569488525,4313765650.0
011150,CJ씨푸드,-16851647,371465,16480182,0,2015.0,0.0,147288002.0
011155,CJ씨푸드1우,-22210,22210,0,0,8170.0,-1.2100000381469727,541230.0
001045,CJ우,136999500,-1334400,-130419700,-5245400,66600.0,-0.15000000596046448,307469200.0
097950,CJ제일제당,-4071871050,2710287550,1496621500,-135038000,200500.0,0.699999988079071,11292810550.0
097955,CJ제일제당 우,-10751300,-2491200,20094700,-6852200,121100.0,-0.5699999928474426,979208900.0
000480,CR홀딩스,-34522343,-779870,35302213,0,4985.0,0.5,383367102.0
000590,CS홀딩스,-4383900,3491700,892200,0,70400.0,-0.8500000238418579,31390400.0
012030,DB,428198511,1198083,-432420594,3024000,1534.0,-1.2200000286102295,1150991504.0
005830,DB손해보험,-2483036200,8288355650,-6978902100,1173582650,150100.0,2.880000114440918,36064224150.0
016610,DB증권,-96490870,15853550,81713640,-1076320,9750.0,-3.4700000286102295,1016354070.0
000990,DB하이텍,-11060208800,6461877150,4687633450,-89301800,111800.0,-0.9700000286102295,65865508400.0
001530,DI동일,-146853825,162403175,-86386400,70837050,23250.0,3.559999942779541,885154925.0
015590,DKME,-130542905,2095,-36314895,166855705,2095.0,0.23999999463558197,285049474.0
000210,DL,-575319875,651399975,-80528300,4448200,45250.0,-0.9800000190734863,3420169850.0
000215,DL우,-23589100,918250,14086100,8584750,21300.0,-1.159999966621399,104296025.0
375500,DL이앤씨,-2370727800,2544193900,-99454200,-74011900,64600.0,-3.0,24992729200.0
37550L,DL이앤씨2우(전환),-18984650,23413200,-43866300,39437750,43650.0,-3.0,227571050.0
37550K,DL이앤씨우,51226950,150,-52044200,817100,22200.0,-1.9900000095367432,90634400.0
007340,DN오토모티브,-262173375,571628575,-283500650,-25954550,36600.0,-2.4000000953674316,6137405300.0
004840,DRB동일,-8150555,5879440,2186165,84950,4330.0,0.23000000417232513,143254370.0
155660,DSR,5214305,-22672240,16851400,606535,4515.0,0.10999999940395355,165796220.0
069730,DSR제강,-25580320,400730,22720560,2459030,5460.0,-2.5,223093460.0
017860,DS단석,-167520210,1053840,166466370,0,11730.0,0.17000000178813934,690292595.0
092780,DYP,6408575,-7278555,869980,0,3400.0,-1.8799999952316284,123934660.0
017940,E1,-850487800,232981900,651416800,-33910900,87100.0,1.5199999809265137,1580060800.0
365550,ESR켄달스퀘어리츠,-205963922,-40655864,248374786,-1755000,3450.0,3.759999990463257,1378643636.0
383220,F&F,-846799500,1975923450,-1136282850,7158900,82800.0,4.809999942779541,6686669300.0
007700,F&F홀딩스,11120195,5975580,-17095775,0,15440.0,-0.44999998807907104,322226525.0
114090,GKL,-235875110,248729670,10612870,-23467430,10520.0,1.7400000095367432,1426156130.0
078930,GS,-7021300750,16510153950,-9780014850,291161650,80100.0,2.559999942779541,45877003650.0
006360,GS건설,-11137963150,8222496600,2323678800,591787750,30900.0,0.9800000190734863,114899421375.0
001250,GS글로벌,-285671599,136530,285535069,0,2640.0,-2.759999990463257,1062390329.0
007070,GS리테일,-769651575,1476694650,-675895075,-31148000,25800.0,3.4100000858306885,5779537600.0
078935,GS우,263845000,-242907800,75886300,-96823500,54500.0,-0.7300000190734863,776911400.0
499790,GS피앤엘,-2591051750,3775282600,-1214810250,30579400,41850.0,6.349999904632568,10159426325.0
012630,HDC,-62796575,147462350,-87996275,3330500,21150.0,0.7099999785423279,967519925.0
039570,HDC랩스,216521300,-10158800,-206362500,0,7660.0,2.130000114440918,329217305.0
089470,HDC현대EP,-42500000,51415700,-8915700,0,3900.0,-0.25999999046325684,333266005.0
267270,HD건설기계,-1871107750,16265404800,-15149817000,755519950,126100.0,1.940000057220459,50354065750.0
009540,HD한국조선해양,-6392778500,-1829815000,7052737500,1169856000,360500.0,-1.2300000190734863,95423753000.0
267250,HD현대,-1973697000,-5666334250,7741535750,-101504500,210500.0,0.7200000286102295,35132340100.0
443060,HD현대마린솔루션,-3809562150,-3446830800,12506397950,-5250005000,201000.0,-3.369999885559082,33709888500.0
071970,HD현대마린엔진,-900731200,1296570800,-307944600,-87895000,60600.0,-4.110000133514404,10085684350.0
322000,HD현대에너지솔루션,-1551406450,-1561341400,2969751750,142996100,115100.0,-2.0399999618530273,19480815850.0
267260,HD현대일렉트릭,2086431500,18867975000,-21053864500,99458000,899000.0,-3.2300000190734863,153345489000.0
329180,HD현대중공업,-18684698000,4036858000,17090051500,-2442211500,552000.0,-5.320000171661377,222915804500.0
097230,HJ중공업,-1473702320,311665490,1210673480,-48636650,17590.0,-7.619999885559082,13155106145.0
014790,HL D&I,-121220244,-3517105,124737349,0,2580.0,-3.190000057220459,549691371.0
003580,HLB글로벌,20156976,775843,-20932819,0,1609.0,1.190000057220459,127486916.0
204320,HL만도,-3992745375,-29815850,3363236725,659324500,48400.0,-2.619999885559082,30728802650.0
060980,HL홀딩스,32694575,115907725,-148160700,-441600,38400.0,-1.2899999618530273,704434775.0
011200,HMM,-4739810300,2395402250,2369440180,-25032130,19600.0,1.1399999856948853,19733992170.0
035000,HS애드,290358000,-3944170,-283871930,-2541900,6700.0,-3.180000066757202,869065570.0
002460,HS화성,-113196360,1674500,111533610,-11750,11600.0,-5.920000076293945,312967520.0
487570,HS효성,22362000,-10803150,-20994800,9435950,45950.0,0.0,263245350.0
298050,HS효성첨단소재,235437750,87385200,-171231250,-151591700,156400.0,-1.7599999904632568,1846030750.0
015360,INVENI,-38315550,8667800,47233810,-17586060,14570.0,2.390000104904175,348626430.0
294870,IPARK현대산업개발,-310202050,16560015,292247635,1394400,18550.0,-3.7899999618530273,4981257645.0
175330,JB금융지주,-5391888025,6543753825,-1007304425,-144561375,28000.0,7.28000020980835,17847662650.0
234080,JW생명과학,46096240,1033130,-45476730,-1652640,11620.0,-1.0199999809265137,497139040.0
001060,JW중외제약,-247062700,10056200,237031650,-25150,25350.0,0.20000000298023224,1052219300.0
001067,JW중외제약2우B,0,0,0,0,43150.0,-0.11999999731779099,129450.0
001065,JW중외제약우,0,0,0,0,20100.0,1.0099999904632568,1631850.0
096760,JW홀딩스,-8960842,-5324400,14285242,0,3775.0,-1.309999942779541,238335578.0
008970,KBI동양철관,23487621,494224,-23981845,0,1174.0,-2.890000104904175,941222446.0
105560,KB금융,-7036840300,66597812550,-59421086550,-139885700,173200.0,1.350000023841858,268020899450.0
415640,KB발해인프라,-1811455420,-502701720,2511209230,-197052090,11150.0,5.090000152587891,4821295385.0
432320,KB스타리츠,-202724500,33822356,169492814,-590670,1459.0,3.8399999141693115,740184658.0
002380,KCC,-88267750,-108374500,200130750,-3488500,472000.0,-2.680000066757202,10940544750.0
344820,KCC글라스,-55725250,-29662750,80687600,4700400,22600.0,-1.309999942779541,232617075.0
009070,KCTC,-63752497,5000,63758697,-11200,4070.0,-0.11999999731779099,492082393.0
092220,KEC,-79904672,9171178,70733494,0,3285.0,-4.230000019073486,1098661881.0
003620,KG모빌리티,-31291411,-156365899,186214810,1442500,2955.0,2.5999999046325684,1518976021.0
016380,KG스틸,-186339780,283929800,-120321570,22731550,5280.0,0.7599999904632568,1598441000.0
001390,KG케미칼,-35814207,479650,-121107598,156442155,4335.0,0.699999988079071,1024374415.0
001940,KISCO홀딩스,-61900425,82670050,-11861125,-8908500,26150.0,0.7699999809265137,189834675.0
025000,KPX케미칼,-67338700,28580700,42677800,-3919800,51100.0,0.5899999737739563,218766100.0
092230,KPX홀딩스,-119386450,120593850,90615700,-91823100,87500.0,1.0399999618530273,825475750.0
044450,KSS해운,-173926235,313057730,-138925665,-205830,9660.0,2.3299999237060547,827264725.0
030200,KT,-6772566300,7096928450,-55841350,-268520800,55500.0,1.8300000429153442,16272531350.0
033780,KT&G,-12985359650,15993420450,-2705046800,-303014000,183400.0,6.260000228881836,72576631350.0
058850,KTcs,12425820,518595,-12944415,0,2245.0,-0.8799999952316284,213712710.0
058860,KTis,2243445,459000,-2702445,0,2580.0,0.0,144418790.0
093050,LF,-63454750,16030700,-16143400,63567450,23850.0,0.0,425650500.0
003550,LG,-4208113850,-684319350,4887040500,5392700,102300.0,1.090000033378601,46898281800.0
034220,LG디스플레이,1597520670,-1195325440,-490026770,87831540,10880.0,0.0,40362147625.0
051900,LG생활건강,-11908605750,6649662500,5258938750,4500,258000.0,4.239999771118164,21519812000.0
051905,LG생활건강우,-83206650,-51816150,134830400,192400,96000.0,0.41999998688697815,792374500.0
064400,LG씨엔에스,-8816598100,1343090950,6876608600,596898550,74000.0,0.0,77246385900.0
373220,LG에너지솔루션,52485956000,-64982166250,13100889250,-604679000,332000.0,-6.349999904632568,187704859500.0
003555,LG우,8292200,-25226300,24159400,-7225300,65600.0,-1.5,416286750.0
032640,LG유플러스,-9090019870,6877926590,2312139360,-100046080,14990.0,5.559999942779541,18862990625.0
011070,LG이노텍,-27289047500,-78764216500,105987802000,65462000,814000.0,-4.800000190734863,266751703500.0
066570,LG전자,-37770651300,29612672800,8699621900,-541643400,189100.0,1.8300000429153442,332940353950.0
066575,LG전자우,-1586161650,-103015250,1689799100,-622200,71200.0,1.4199999570846558,6296081700.0
037560,LG헬로비전,2782302,17162864,-19951642,6476,1613.0,-1.590000033378601,485390257.0
051910,LG화학,8934151250,-7407097500,-1591866250,64812500,265500.0,-3.9800000190734863,62629627500.0
