종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,41262597,5388750,-46678227,26880,4520.0,2.259999990463257,334258460.0
006840,AK홀딩스,-1696870,2231110,-534240,0,7360.0,1.100000023841858,36169190.0
027410,BGF,-131498860,12149080,119304155,45625,4195.0,1.8200000524520874,271826790.0
282330,BGF리테일,-1649658400,-521613050,2222662550,-51391100,145200.0,1.75,12388403900.0
138930,BNK금융지주,-3100092905,-2506752425,5616568930,-9723600,15130.0,1.8899999856948853,15978388035.0
001460,BYC,-15233200,14099250,1209600,-75650,38400.0,0.6600000262260437,120770700.0
001465,BYC우,-24316600,22833200,1483400,0,26500.0,2.319999933242798,86434850.0
001040,CJ,-1161532700,-6657096450,8116265550,-297636400,138100.0,0.36000001430511475,21570103950.0
079160,CJ CGV,100995560,106560790,-208247340,690990,5440.0,2.8399999141693115,2296800860.0
00104K,CJ4우(전환),-28720800,4816400,24395300,-490900,129900.0,0.07999999821186066,543638600.0
000120,CJ대한통운,-2352548500,351748000,1898576200,102224300,77200.0,4.320000171661377,4102645850.0
011150,CJ씨푸드,-14535325,1162385,13372940,0,2045.0,0.25,56208500.0
011155,CJ씨푸드1우,-2341130,2412000,-70870,0,8040.0,29.889999389648438,128005140.0
001045,CJ우,20342100,1140500,-21851800,369200,73800.0,0.4099999964237213,108337900.0
097950,CJ제일제당,-2312627500,2218974400,-64025200,157678300,185400.0,1.590000033378601,15230222400.0
097955,CJ제일제당 우,-175346750,2125700,172601050,620000,125800.0,2.359999895095825,349259600.0
000480,CR홀딩스,-8216350,4191025,4025325,0,4695.0,0.5400000214576721,19928460.0
000590,CS홀딩스,-2427500,7657200,10388700,-15618400,68700.0,0.4399999976158142,41755200.0
012030,DB,-4032228,5158149,-1125921,0,1520.0,0.33000001311302185,691027507.0
005830,DB손해보험,-5788812050,14238855800,-8483728950,33685200,176800.0,6.119999885559082,45210453900.0
016610,DB증권,-226386650,3069830,222993430,323390,9920.0,4.090000152587891,848470800.0
000990,DB하이텍,-2835477800,9294392500,-6359248000,-99666700,102800.0,3.109999895095825,32543880450.0
001530,DI동일,-323382850,175034000,181966350,-33617500,25500.0,2.819999933242798,1037768825.0
015590,DKME,-4585882,0,4585882,0,1628.0,-1.9299999475479126,40928415.0
000210,DL,-901961900,483877150,408498550,9586200,51900.0,1.9600000381469727,2973023950.0
000215,DL우,-629050,-1461500,2042550,48000,23900.0,1.9199999570846558,26694750.0
375500,DL이앤씨,-993000500,446062450,566292550,-19354500,73800.0,0.4099999964237213,16110728000.0
37550L,DL이앤씨2우(전환),-42506650,88555050,-46048400,0,48950.0,-0.3100000023841858,123961650.0
37550K,DL이앤씨우,-25578875,125,25378750,200000,25050.0,-0.20000000298023224,109367650.0
007340,DN오토모티브,-2398834275,3137716300,-972166125,233284100,58900.0,19.110000610351562,50811682925.0
004840,DRB동일,12343830,-646855,-11696975,0,4485.0,0.10999999940395355,96511135.0
155660,DSR,-73432420,1306960,73085800,-960340,4790.0,4.019999980926514,205566720.0
069730,DSR제강,-340377430,1311660,339300780,-235010,5970.0,1.3600000143051147,809136945.0
017860,DS단석,42129680,-15467775,-30264015,3602110,12440.0,0.23999999463558197,1487683775.0
092780,DYP,-10567339,2708800,7915609,-57070,3620.0,4.170000076293945,91376573.0
017940,E1,-211388450,-133000,201704250,9817200,89500.0,4.070000171661377,502085350.0
365550,ESR켄달스퀘어리츠,-111608330,-363287409,457522674,17373065,3290.0,4.610000133514404,756068509.0
383220,F&F,1542241850,-1710680050,186703000,-18264800,67000.0,-2.619999885559082,4389803900.0
007700,F&F홀딩스,-31392680,14579660,16813020,0,14940.0,4.699999809265137,466635480.0
114090,GKL,-283098705,105212865,167186040,10699800,9400.0,1.5099999904632568,1261527405.0
078930,GS,11781534900,32427171700,-44141183600,-67523000,117000.0,8.9399995803833,93140248700.0
006360,GS건설,-1756211375,-5098189025,7026368100,-171967700,35350.0,-0.9800000190734863,72722687100.0
001250,GS글로벌,37721694,4177135,-43836079,1937250,2775.0,1.2799999713897705,1449098137.0
007070,GS리테일,-1200305800,249425000,965612650,-14731850,27700.0,3.549999952316284,4481500300.0
078935,GS우,-407943750,79929550,255548200,72466000,63600.0,3.9200000762939453,1066378200.0
499790,GS피앤엘,-258963675,451027325,-187246100,-4817550,42300.0,-2.0799999237060547,1987904900.0
012630,HDC,39116000,-124248800,88396300,-3263500,22300.0,0.0,1138106900.0
039570,HDC랩스,6575505,-3614735,-2955970,-4800,7800.0,2.2300000190734863,42471545.0
089470,HDC현대EP,-178813922,65297855,113516067,0,4040.0,4.119999885559082,641387861.0
267270,HD건설기계,1353340600,-4855434000,3335165100,166928300,138600.0,-0.6499999761581421,25981616250.0
009540,HD한국조선해양,-14895281250,-12640224250,26906235500,629270000,386000.0,3.9000000953674316,90131325500.0
267250,HD현대,-620627750,4994160250,-5478331500,1104799000,235500.0,2.8399999141693115,31119384000.0
443060,HD현대마린솔루션,911966200,42404550,-954369550,-1200,196800.0,-1.850000023841858,24495400800.0
071970,HD현대마린엔진,2860509350,-3520612400,597139150,62963900,58200.0,0.3400000035762787,9564368600.0
322000,HD현대에너지솔루션,1325514450,-1876498650,589708400,-38724200,123300.0,-0.7200000286102295,32345540650.0
267260,HD현대일렉트릭,-490522500,-4294681500,4774669000,10535000,803000.0,2.2899999618530273,73783488000.0
329180,HD현대중공업,-12753245500,39826472000,-26934757000,-138469500,510000.0,2.819999933242798,110849102000.0
097230,HJ중공업,499194925,24553480,-544967870,21219465,17900.0,-0.05999999865889549,5365619860.0
014790,HL D&I,-5047385,-825480,5872865,0,2575.0,1.5800000429153442,94203295.0
003580,HLB글로벌,39838818,1172013,-41010831,0,1660.0,0.9100000262260437,261163347.0
204320,HL만도,-1079518500,2702786400,-1474652300,-148615600,57100.0,2.880000114440918,43590507950.0
060980,HL홀딩스,-16780225,140622600,-125801925,1959550,41100.0,1.7300000190734863,904325575.0
011200,HMM,-6454567075,-1121763700,7795810375,-219479600,21250.0,0.949999988079071,22230176750.0
035000,HS애드,28946850,5347840,-49789710,15495020,6930.0,1.1699999570846558,217896870.0
002460,HS화성,-12612590,1498920,6934260,4179410,11780.0,-0.3400000035762787,83566010.0
487570,HS효성,-6368500,2441350,3927150,0,47900.0,1.2699999809265137,143193050.0
298050,HS효성첨단소재,-360211600,9706150,350505450,0,177700.0,2.950000047683716,1835708050.0
015360,INVENI,-50155450,4174570,44394940,1585940,14370.0,1.2000000476837158,403256900.0
294870,IPARK현대산업개발,-829302250,83841650,1147875400,-402414800,22100.0,1.3799999952316284,3461956450.0
175330,JB금융지주,2633715150,-1255281750,-1387692350,9258950,28000.0,-4.599999904632568,8708367600.0
