종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금,시가총액
005930,삼성전자,3643746,940346141500,-2208594.0,-570440550750.0,-3550438.0,-916705047750.0,2095995.0,541816665500.0,259500,-3.53,3605176833500,1517109298776000
000660,SK하이닉스,277145,489982974000,-274533.0,-488814815000.0,-608569.0,-1084025229000.0,603890.0,1079187671500.0,1812000,-2.21,4698316407000,1323652165380000
005935,삼성전자우,1347555,260372521700,93368.0,17994382450.0,-1473450.0,-284682394900.0,18572.0,3605949800.0,193300,-4.78,578270391350,155098353539900
402340,SK스퀘어,75302,80953447500,-83234.0,-89645050500.0,6936.0,7620871500.0,704.0,757723500.0,1089000,-4.05,437945248500,143665233822000
009150,삼성전기,-29797,-42340770500,44172.0,62250625500.0,-16766.0,-23269353000.0,2666.0,3752401000.0,1400000,0.0,864835281640,104571174400000
373220,LG에너지솔루션,14848,5133489750,15130.0,5589886000.0,-15481.0,-5535317000.0,-14465.0,-5176273250.0,360000,-1.37,108528482000,84240000000000
005380,현대차,72414,27405837000,-35710.0,-13416379500.0,-19882.0,-7593106500.0,-17168.0,-6527567500.0,382500,-1.67,199787134250,78319845495000
207940,삼성바이오로직스,-289,-430463500,-2866.0,-4012435000.0,3021.0,4255541500.0,97.0,135386000.0,1415000,-0.56,37886648000,65501695665000
105560,KB금융,-93468,-16525640400,83763.0,14962317850.0,11166.0,1820328200.0,-1454.0,-256102400.0,177900,2.6,182362397630,63098947878600
032830,삼성생명,-9706,-3013838250,14157.0,4413272500.0,-1993.0,-653168250.0,-2416.0,-733462500.0,307500,-0.65,90266334607,61500000000000
028260,삼성물산,102,-147952750,106443.0,39372934250.0,-106514.0,-39212407500.0,-60.0,-23047500.0,367000,-3.29,190639788250,59515502227000
034020,두산에너빌리티,-9319,-1102110900,174352.0,15967090900.0,-141417.0,-12744065750.0,-22888.0,-2055051950.0,90800,1.0,229585700300,58162952056800
012450,한화에어로스페이스,-13499,-14630530500,5900.0,6531567000.0,7613.0,8116633500.0,14.0,13725000.0,1081000,1.31,105180171000,55740036481000
055550,신한지주,-89422,-10031941550,182701.0,20668977250.0,-91950.0,-10488756350.0,-1236.0,-137826550.0,112900,2.36,114874433542,53000931983100
329180,HD현대중공업,-65438,-31343307000,99233.0,48037236750.0,-38283.0,-18817847000.0,3373.0,1607541250.0,479000,5.62,342027176250,50276426775000
000270,기아,1099,120512250,-29301.0,-3619651500.0,27710.0,3437608950.0,702.0,87975700.0,126600,-0.31,66982796100,49426285546800
006400,삼성SDI,59149,32252923000,-73081.0,-39800618500.0,16640.0,9031998500.0,-2568.0,-1406081000.0,545000,-2.85,164444128500,43919113850000
034730,SK,15979,9225454000,-13195.0,-7626804000.0,-3570.0,-2053626000.0,467.0,269958000.0,585000,-4.41,59960263500,42414081255000
068270,셀트리온,67433,11938359400,-284518.0,-50555273750.0,157277.0,27967108300.0,59649.0,10621608550.0,178200,-1.44,100436823100,41452380763200
086790,하나금융지주,-38079,-5221363700,-53505.0,-7279970400.0,92749.0,12660912000.0,-1060.0,-145390000.0,137800,1.85,94005431100,37807875674400
012330,현대모비스,-22492,-9367441000,-16082.0,-6627741000.0,34369.0,14262798500.0,4205.0,1732303500.0,415500,0.0,94327210250,37320453067500
066570,LG전자,203157,40452452700,-163712.0,-32681006250.0,-39704.0,-7821732600.0,-819.0,-164701700.0,199500,-3.39,142996281050,32495485281000
035420,NAVER,83555,16936058250,-258469.0,-52860970250.0,176067.0,36160099750.0,-1411.0,-287908500.0,206500,-0.72,136068648250,31407487198500
010120,LS ELECTRIC,-13110,-2694760950,-26728.0,-5399210650.0,42442.0,8622373350.0,-2377.0,-481913850.0,204500,-0.73,53251906600,30675000000000
000810,삼성화재,-23269,-15722023500,14773.0,10186607500.0,8751.0,5709817000.0,-282.0,-192885000.0,686000,6.03,93368073000,30628166478000
267260,HD현대일렉트릭,-4310,-3221918000,-3940.0,-2895119000.0,8273.0,6132784000.0,-53.0,-37827000.0,747000,0.13,51223718500,26927209845000
298040,효성중공업,4682,13108572000,-3029.0,-8492895500.0,-1668.0,-4658259500.0,2.0,5922000.0,2854000,-1.28,57494056000,26612259992000
005490,POSCO홀딩스,-16184,-5402032000,5475.0,1859140500.0,10793.0,3571001000.0,-52.0,-17411000.0,334000,-1.47,55129551750,26466670018000
042660,한화오션,47653,3946830050,-94625.0,-8001231950.0,55109.0,4753446650.0,-8058.0,-691243050.0,85600,0.12,62583942750,26228986526400
009540,HD한국조선해양,-50450,-18436053750,54438.0,19970948750.0,-4235.0,-1621169250.0,262.0,91887750.0,365500,3.98,95791701250,25867573898000
316140,우리금융지주,-908973,-31692325525,-58900.0,-2021337375.0,994008.0,34614919975.0,-24928.0,-859458075.0,35100,3.24,96778112800,25861208150700
010130,고려아연,4125,4866894000,-3021.0,-3564806500.0,-1140.0,-1344615500.0,12.0,14228000.0,1179000,-3.68,13063435500,24609230451000
096770,SK이노베이션,53465,7855107850,-101748.0,-14832981450.0,44171.0,6393679950.0,3175.0,448002750.0,144800,-5.42,164747573150,24478843702400
042700,한미반도체,619228,144354138500,-185647.0,-43193362000.0,-438068.0,-102205684750.0,3286.0,765689750.0,231000,-8.7,258472403250,22017118200000
000150,두산,5007,6793618000,27282.0,37189270500.0,-33709.0,-45921337000.0,1198.0,1635550500.0,1356000,2.57,130407976000,21958840260000
