종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,-174815622,172553835,2252867,8920,4450.0,-0.10999999940395355,849240693.0
006840,AK홀딩스,47080,5614930,-5662010,0,6620.0,-2.5,79981010.0
027410,BGF,-62060875,252483050,-189991675,-430500,4360.0,3.069999933242798,906953245.0
282330,BGF리테일,1665788350,-48660542100,46946166500,48587250,128200.0,-1.309999942779541,87926090350.0
138930,BNK금융지주,-6952223610,29356027685,-21676478215,-727325860,18470.0,2.5,44792322255.0
001460,BYC,13547900,-28491100,13822200,1121000,37400.0,-2.5999999046325684,106312250.0
001465,BYC우,3582800,148300,-3731100,0,24950.0,-2.3499999046325684,10258850.0
001040,CJ,-6702979650,1354956900,5237478450,110544300,186800.0,7.170000076293945,42133245550.0
079160,CJ CGV,222827430,-169766415,-44297355,-8763660,4730.0,-3.4700000286102295,1736175911.0
00104K,CJ4우(전환),-491477100,473706400,154539900,-136769200,169500.0,4.949999809265137,1516586800.0
000120,CJ대한통운,-596339150,-136327750,-156490750,889157650,87300.0,2.3399999141693115,5156294000.0
011150,CJ씨푸드,-24492250,-272225,24725895,38580,2110.0,-0.23999999463558197,155138485.0
011155,CJ씨푸드1우,9720,0,-9720,0,9710.0,-0.10000000149011612,3322620.0
001045,CJ우,-14909900,672300,15447200,-1209600,75900.0,3.8299999237060547,204602400.0
097950,CJ제일제당,3764774900,-3035827350,-587326350,-141621200,200500.0,-0.7400000095367432,11408866700.0
097955,CJ제일제당 우,214883850,-288185450,73301600,0,124800.0,-0.5600000023841858,656430850.0
000480,CR홀딩스,-13679750,272130,12911900,495720,4885.0,0.10000000149011612,85282375.0
000590,CS홀딩스,1012700,-1228500,215800,0,72800.0,0.14000000059604645,9592400.0
012030,DB,-264610322,-5038537,274888859,-5240000,2005.0,2.240000009536743,1367361102.0
005830,DB손해보험,339632750,4012743200,-5147517950,795142000,153400.0,0.6600000262260437,35971616550.0
016610,DB증권,-203928130,-319103710,521734900,1296940,11100.0,1.4600000381469727,1805970510.0
000990,DB하이텍,10953824250,-21234442600,10089264450,191353900,158000.0,-1.9900000095367432,83212481250.0
001530,DI동일,242422525,-2149081025,1687388800,219269700,23250.0,-0.8500000238418579,4135681475.0
015590,DKME,-165764713,1145320,24078403,140540990,2205.0,4.260000228881836,705932499.0
000210,DL,376836800,-1587238850,1100565650,109836400,54800.0,-0.7200000286102295,6291677200.0
000215,DL우,1143725,1733950,-2877675,0,24850.0,1.4299999475479126,75165200.0
375500,DL이앤씨,-4779091300,7964607000,-3654421150,468905450,89400.0,13.15999984741211,200698393950.0
37550L,DL이앤씨2우(전환),-441727000,397325400,45962600,-1561000,55800.0,13.649999618530273,854803650.0
37550K,DL이앤씨우,79942925,550,-80105675,162200,27050.0,7.340000152587891,1222846625.0
007340,DN오토모티브,-33026825,-1240597425,1277809900,-4185650,44650.0,1.8200000524520874,7500480650.0
004840,DRB동일,9208329,-318870,-8889459,0,4555.0,1.3300000429153442,41266974.0
155660,DSR,-5559992,1353805,4206187,0,4320.0,0.699999988079071,74150194.0
069730,DSR제강,-160729300,2775350,158490950,-537000,5300.0,0.1899999976158142,281224120.0
017860,DS단석,216041975,-187527990,-40247985,11734000,14630.0,-2.3399999141693115,1274446520.0
092780,DYP,-5987775,2004105,3983670,0,4340.0,-1.0299999713897705,128813040.0
