종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,-27519376,307117893,-280993557,1395040,4455.0,-0.10999999940395355,748112619.0
006840,AK홀딩스,-168040,-3409930,5175970,-1598000,6790.0,6.760000228881836,411541715.0
027410,BGF,-700893137,4880377,691616915,4395845,4230.0,3.049999952316284,1616264882.0
282330,BGF리테일,-520732300,-440569750,964589750,-3287700,129900.0,0.46000000834465027,6763950200.0
138930,BNK금융지주,-3342769365,4600933605,-719237960,-538926280,18020.0,1.9800000190734863,20463003420.0
001460,BYC,-18979900,1230000,30287850,-12537950,38400.0,3.640000104904175,133439700.0
001465,BYC우,1481150,-129000,-1352150,0,25550.0,0.9900000095367432,12790250.0
001040,CJ,-83615600,-2041668750,2574290950,-449006600,174300.0,-0.10999999940395355,26337673200.0
079160,CJ CGV,-735439015,270272484,473137591,-7971060,4900.0,8.770000457763672,3410695002.0
00104K,CJ4우(전환),-27202200,33474400,77914200,-84186400,161500.0,-1.159999966621399,1219522400.0
000120,CJ대한통운,-515655250,402549700,108934250,4171300,85300.0,3.140000104904175,3355211900.0
011150,CJ씨푸드,29138103,2115,-29140218,0,2115.0,0.23999999463558197,112494945.0
011155,CJ씨푸드1우,87290,-96900,9610,0,9720.0,1.1399999856948853,4149040.0
001045,CJ우,70065100,-232600,-71017300,1184800,73100.0,-0.27000001072883606,290306500.0
097950,CJ제일제당,1760347450,-808105950,-1064009500,111768000,202000.0,1.659999966621399,13829996050.0
097955,CJ제일제당 우,132113700,-102370500,-29743200,0,125500.0,0.9700000286102295,702354950.0
000480,CR홀딩스,38075385,-101430,-13654275,-24319680,4880.0,0.8299999833106995,231649272.0
000590,CS홀딩스,-3756900,-2886500,6643400,0,72700.0,1.1100000143051147,26643600.0
012030,DB,43337141,-3309902,-41025739,998500,1961.0,-0.4099999964237213,1039553276.0
005830,DB손해보험,-1639236700,5960331000,-4234044600,-87049700,152400.0,2.8299999237060547,56646777300.0
016610,DB증권,329327020,-215801450,-121980870,8455300,10940.0,1.9600000381469727,1769570135.0
000990,DB하이텍,34363137250,-24140494700,-10607759850,385117300,161200.0,-7.519999980926514,102974243900.0
001530,DI동일,-20640050,-3886075,49446150,-24920025,23450.0,0.8600000143051147,645049700.0
015590,DKME,-37195486,-10575,37206061,0,2115.0,3.680000066757202,812317280.0
000210,DL,720128400,-613579000,-133060800,26511400,55200.0,2.2200000286102295,5464285600.0
000215,DL우,26653975,1700400,-28451975,97600,24500.0,4.260000228881836,83241275.0
375500,DL이앤씨,5674191350,8798932050,-14765515800,292392400,79000.0,6.900000095367432,50644123100.0
37550L,DL이앤씨2우(전환),-99111600,169549450,-70437850,0,49100.0,8.510000228881836,283241250.0
37550K,DL이앤씨우,100590650,50400,-100892200,251150,25200.0,3.700000047683716,328217100.0
007340,DN오토모티브,158848650,-487918225,304567825,24501750,43850.0,8.8100004196167,6827556600.0
004840,DRB동일,15168623,-15040065,-790808,662250,4495.0,1.0099999904632568,101561173.0
155660,DSR,23275050,-3459410,-21556670,1741030,4290.0,0.23000000417232513,132271135.0
069730,DSR제강,33864570,-16720,-33847850,0,5290.0,0.0,134152460.0
017860,DS단석,119624775,-4025120,-117100955,1501300,14980.0,0.07000000029802322,1295684525.0
092780,DYP,26348925,-8653765,-17695160,0,4385.0,0.0,117005236.0
017940,E1,101863200,-132025200,30162000,0,88500.0,1.0299999713897705,1036568300.0
365550,ESR켄달스퀘어리츠,13247658,-78489529,132235576,-66993705,3755.0,3.299999952316284,2262440783.0
383220,F&F,-191537600,12574550,255803700,-76840650,81700.0,-4.889999866485596,9527790400.0
007700,F&F홀딩스,55675530,-58298185,2861775,-239120,17000.0,3.0899999141693115,434044795.0
114090,GKL,-415665390,-207890990,-150371380,773927760,12350.0,2.319999933242798,2748449210.0
078930,GS,-854487750,-569987650,1436331450,-11856050,75600.0,4.28000020980835,17823507900.0
006360,GS건설,16695490050,-205133725,-16086189175,-404167150,30250.0,5.03000020980835,53233084675.0
001250,GS글로벌,241700860,-1045874,-254805046,14150060,3120.0,4.699999809265137,3166053811.0
007070,GS리테일,-873923150,669323000,204403600,196550,24850.0,1.2200000286102295,5874057575.0
078935,GS우,200856900,-119615400,-81241500,0,54500.0,1.6799999475479126,482670050.0
499790,GS피앤엘,-178635500,-843755575,1179756775,-157365700,48100.0,-0.20999999344348907,4171654225.0
012630,HDC,353486475,-529370925,118915900,56968550,21450.0,1.4199999570846558,1767264500.0
039570,HDC랩스,1763005,-22937960,21181355,-6400,7890.0,-0.3799999952316284,151444685.0
089470,HDC현대EP,171734890,85209625,-257200065,255550,4330.0,6.650000095367432,890549680.0
267270,HD건설기계,3618950400,11350299450,-15426089650,456839800,154500.0,8.350000381469727,56810794050.0
009540,HD한국조선해양,-6368703000,3935380000,2987595250,-554272250,422000.0,6.03000020980835,80722260250.0
267250,HD현대,-7834238500,-2986625000,11240665500,-419802000,268000.0,9.84000015258789,40919459500.0
443060,HD현대마린솔루션,-32925801250,7767033250,-2395199000,27553967000,255000.0,3.0299999713897705,56508395132.0
071970,HD현대마린엔진,735094500,2747511450,-3295351450,-187254500,71000.0,7.579999923706055,10924258800.0
322000,HD현대에너지솔루션,-2265464350,4540199750,-2309340000,34604600,158100.0,5.050000190734863,41157071900.0
267260,HD현대일렉트릭,-20108589500,81645900000,-61312093500,-225217000,1194000.0,5.659999847412109,365397888500.0
329180,HD현대중공업,-30346542000,40780757500,-12495702000,2061486500,714000.0,9.850000381469727,279304017500.0
097230,HJ중공업,-3014329100,3977820675,-968598325,5106750,23300.0,7.869999885559082,22617047175.0
014790,HL D&I,111903065,-694870,-94872460,-16335735,2745.0,4.570000171661377,399525165.0
003580,HLB글로벌,74167234,12198088,-86365322,0,1500.0,-0.20000000298023224,360463365.0
204320,HL만도,-47899846950,12925881250,36854545900,-1880580200,70600.0,8.619999885559082,533117803900.0
