종목코드,종목명,개인_순매수거래대금,기관_순매수거래대금,외국인_순매수거래대금,기타법인_순매수거래대금,종가,등락률,거래대금
095570,AJ네트웍스,109970085,2162735,-127544305,15411485,4475.0,-1.0,764255770.0
006840,AK홀딩스,25539390,2417440,-27956830,0,7160.0,-2.7200000286102295,56450770.0
027410,BGF,20811691,55209895,-76021586,0,4115.0,-1.909999966621399,247308631.0
282330,BGF리테일,-104471400,40178150,65733950,-1440700,143200.0,-1.3799999952316284,11442627900.0
138930,BNK금융지주,3953271020,640383080,-4852920780,259266680,14820.0,-2.049999952316284,16214208960.0
001460,BYC,22207300,14057400,-36713950,449250,37300.0,-2.859999895095825,59477100.0
001465,BYC우,-27053550,22467900,4585650,0,27000.0,1.8899999856948853,48523100.0
001040,CJ,16087528200,-10612883250,-6127358550,652713600,126900.0,-8.109999656677246,29621370500.0
079160,CJ CGV,1096922785,-438541590,-633728865,-24652330,5240.0,-3.680000066757202,3818585490.0
00104K,CJ4우(전환),272937250,-38161100,-234776150,0,120800.0,-7.010000228881836,1171309400.0
000120,CJ대한통운,1224249300,75966550,-1324251000,24035150,75300.0,-2.4600000381469727,4042663200.0
011150,CJ씨푸드,24591507,1462890,-27142682,1088285,2015.0,-1.4700000286102295,133205181.0
011155,CJ씨푸드1우,2273220,-2211120,-62100,0,6670.0,-17.040000915527344,152477860.0
001045,CJ우,72852100,-1643400,-71496600,287900,71900.0,-2.569999933242798,246469700.0
097950,CJ제일제당,7023072200,1542512900,-9729928100,1164343000,183400.0,-1.0800000429153442,20610677850.0
097955,CJ제일제당 우,41303050,2017300,-71882450,28562100,124700.0,-0.8700000047683716,535683000.0
000480,CR홀딩스,15920855,5109875,-21030730,0,4695.0,0.0,161882250.0
000590,CS홀딩스,801700,1684300,-2486000,0,66900.0,-2.619999885559082,39921600.0
012030,DB,152866725,7295231,-187099155,26937199,1471.0,-3.2200000286102295,637938754.0
005830,DB손해보험,-2332527600,6098272900,-3747180800,-18564500,182000.0,2.940000057220459,47515453535.0
016610,DB증권,407258150,13055730,-399542430,-20771450,9500.0,-4.230000019073486,866615280.0
000990,DB하이텍,3757588100,-9929518050,6306127950,-134198000,97600.0,-5.059999942779541,37084239600.0
001530,DI동일,218228725,-53267350,-154593375,-10368000,24000.0,-5.880000114440918,796461100.0
015590,DKME,7388247,-3210,-5932257,-1452780,1605.0,-1.409999966621399,34087490.0
000210,DL,-659118450,582881900,49726750,26509800,50700.0,-2.309999942779541,4056291600.0
000215,DL우,6197650,1197950,-6516550,-879050,23800.0,-0.41999998688697815,18595500.0
375500,DL이앤씨,-2770100400,-233834950,2947422150,56513200,70600.0,-4.340000152587891,20791202850.0
37550L,DL이앤씨2우(전환),-95980800,68544050,-20513250,47950000,46150.0,-5.71999979019165,205645500.0
37550K,DL이앤씨우,19260325,50,-19260375,0,24750.0,-1.2000000476837158,75092550.0
007340,DN오토모티브,1353296050,-15638502550,15408072000,-1122865500,62800.0,6.619999885559082,62201628100.0
004840,DRB동일,34324115,2450190,-36774305,0,4415.0,-1.559999942779541,168314560.0
155660,DSR,-28374290,8514940,1696350,18163000,4645.0,-3.0299999713897705,393121990.0
069730,DSR제강,35031090,1671900,-16843900,-19859090,5820.0,-2.509999990463257,604294080.0
017860,DS단석,-104200285,-5386350,109830435,-243800,12080.0,-2.890000104904175,1097322930.0
092780,DYP,42078675,952815,-42946850,-84640,3665.0,1.2400000095367432,128101825.0
017940,E1,-149585200,-88961100,213778700,24767600,92800.0,3.690000057220459,1057810900.0
365550,ESR켄달스퀘어리츠,801577734,100809795,-955326304,52938775,3175.0,-3.5,2001636382.0
383220,F&F,1303863200,-1112486100,-194997300,3620200,64900.0,-3.130000114440918,5089378650.0
007700,F&F홀딩스,212751635,-46992125,-145550360,-20209150,14190.0,-5.019999980926514,621325535.0
114090,GKL,247637960,-127310340,-120531300,203680,9330.0,-0.7400000095367432,1268209120.0
078930,GS,728116350,22062340050,-23376497850,586041450,119300.0,1.9700000286102295,75926934750.0
006360,GS건설,-11695259525,2670233300,9392992275,-367966050,34150.0,-3.390000104904175,60565193000.0
001250,GS글로벌,361727998,5871230,-377748128,10148900,2700.0,-2.700000047683716,1350778501.0
007070,GS리테일,-177165375,-174530600,394940425,-43244450,27250.0,-1.6200000047683716,3298108250.0
078935,GS우,-60574100,26003600,34570500,0,64200.0,0.9399999976158142,744586950.0
499790,GS피앤엘,255294600,-184432625,-68212125,-2649850,41050.0,-2.9600000381469727,1536558750.0
012630,HDC,66781050,89342500,-127896850,-28226700,22200.0,-0.44999998807907104,1049227550.0
039570,HDC랩스,50786560,4092200,-55483560,604800,7660.0,-1.7899999618530273,173898430.0
089470,HDC현대EP,97126541,21789989,-118916530,0,3975.0,-1.6100000143051147,309349383.0
267270,HD건설기계,-1188497200,-3131753050,4262131050,58119200,133500.0,-3.680000066757202,27752376950.0
009540,HD한국조선해양,1495924250,-1127421750,-1143071250,774568750,374500.0,-2.9800000190734863,81607701750.0
