종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금
402340,SK스퀘어,-9135,-9291506000,-14552.0,-14089977500.0,20992.0,20730621000.0,2662.0,2619279000.0,981000,-0.1,395569483500
403550,쏘카,-2720,-30558350,6301.0,70919510.0,-388.0,-4380590.0,-3213.0,-36203970.0,11110,-1.86,206782550
404990,신한서부티엔디리츠,5551,20488840,-7501.0,-27401225.0,2724.0,9911635.0,-774.0,-2999250.0,3850,-0.13,398429975
415640,KB발해인프라,-29078,-317919070,-9115.0,-94977635.0,41921.0,453854770.0,-3729.0,-40969015.0,10620,1.24,1473266910
417310,코람코더원리츠,-20053,-47374215,129209.0,304562995.0,-103372.0,-243480700.0,-5784.0,-13708080.0,2365,0.21,1141774850
432320,KB스타리츠,-57894,-85330720,32878.0,48331327.0,19895.0,29471744.0,5121.0,7527649.0,1469,1.17,396448239
439260,대한조선,-23592,-1088740350,-5415.0,-251180050.0,28856.0,1333009025.0,3.0,108275.0,46600,4.72,2483101875
443060,HD현대마린솔루션,-9037,-1850860050,-5816.0,-1188294250.0,14895.0,3047780050.0,-20.0,-4107500.0,205500,3.27,12691137050
446070,유니드비티플러스,-18946,-75251410,24982.0,99053810.0,-6036.0,-23802400.0,,,3955,-0.5,214899630
448730,삼성FN리츠,12098,61680465,-6180.0,-29920325.0,-7040.0,-37563600.0,1100.0,5689500.0,5160,-3.73,533441925
450080,에코프로머티,10322,354872600,8440.0,302078400.0,-8539.0,-300542300.0,-10383.0,-362021250.0,35200,0.28,9225197600
451800,한화리츠,4822,24608790,-3654.0,-17770875.0,-874.0,-5277015.0,-294.0,-1560900.0,5130,-1.72,584659485
452260,한화갤러리아,-137027,-311253209,-213.0,-546190.0,-235210.0,-521226811.0,372610.0,833398400.0,2155,2.62,7319752960
45226K,한화갤러리아우,0,0,,,,,0.0,0.0,3995,-0.87,32945100
453340,현대그린푸드,-844,-15570200,3100.0,57680210.0,-7555.0,-140460020.0,5299.0,98350010.0,18470,-1.18,340905200
454910,두산로보틱스,-3096,-212874050,-12820.0,-846353550.0,18274.0,1217066900.0,-2613.0,-174694750.0,66200,0.3,13322785850
456040,OCI,-6278,-503310050,5651.0,450512100.0,627.0,52803950.0,0.0,-6000.0,79800,1.79,1902370950
457190,이수스페셜티케미컬,20658,1338824050,-12071.0,-766701650.0,-8889.0,-591419200.0,138.0,8861300.0,62800,-2.33,7316380200
460850,동국씨엠,-8302,-44003575,1187.0,6255410.0,7105.0,37696065.0,10.0,52100.0,5240,0.0,179154115
460860,동국제강,-15744,-171473425,54725.0,585453485.0,-39156.0,-415860670.0,175.0,1880710.0,10670,3.69,2796495900
462520,조선내화,6719,87063975,1434.0,18636430.0,-8153.0,-105700405.0,0.0,0.0,12970,-0.77,197697600
462870,시프트업,21673,689287625,-6324.0,-201975975.0,-15360.0,-487642750.0,-53.0,-1702500.0,32000,-1.99,1693760675
465770,STX그린로지스,-42998,-160405578,0.0,0.0,44518.0,160960582.0,-7587.0,-29889114.0,3820,-2.68,43443545274
475150,SK이터닉스,7653,359427725,-11566.0,-574939450.0,4704.0,252172075.0,-436.0,-19076950.0,49700,-2.36,40936137200
475560,더본코리아,4279,66919245,-46.0,-702190.0,-4185.0,-65554425.0,,,15090,-3.58,1533150690
480370,씨케이솔루션,-3273,-4645992,-23.0,-32660.0,3400.0,4827642.0,,,1420,0.0,57458157
481850,신한글로벌액티브리츠,-1127,-1093464,192.0,186720.0,-65.0,-66256.0,1000.0,973000.0,978,-0.61,15673633
483650,달바글로벌,23137,4488259400,-40495.0,-7813325650.0,19144.0,3686666250.0,-594.0,-116616400.0,190500,-5.69,26565129050
484870,엠앤씨솔루션,-5307,-96259940,3765.0,65177860.0,904.0,20054810.0,695.0,12046670.0,17280,-2.37,2036697025
487570,HS효성,-556,-26580900,6.0,290200.0,370.0,17676200.0,180.0,8614500.0,48250,0.21,139807700
489790,한화비전,-20007,-982667975,22647.0,1111034150.0,-963.0,-46619025.0,-1308.0,-63777400.0,48700,-0.41,4681338450
499790,GS피앤엘,10783,454621325,-13550.0,-563114975.0,2732.0,107058000.0,-1.0,-54750.0,41400,-4.94,2038544050
900140,엘브이엠씨홀딩스,53511,63795948,-1701.0,-2061822.0,-51829.0,-61756964.0,20.0,24040.0,1197,0.0,312408367
950210,프레스티지바이오파마,24491,156798810,-342.0,-2148660.0,-19302.0,-123118620.0,-4799.0,-31230370.0,6470,-3.72,361097995
