종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금,시가총액
005930,삼성전자,-7674481,-2112570557750,2406250.0,664362070250.0,3361961.0,922111604750.0,1935703.0,534182557500.0,269500,-0.19,6236737732500,1575572084856000
000660,SK하이닉스,-721126,-1335482840000,-14560.0,-28196078500.0,102688.0,189864515000.0,638141.0,1183290218500.0,1793000,0.56,7669131664440,1309772810445000
005935,삼성전자우,-520952,-105057678850,359241.0,72453425600.0,149617.0,30171470150.0,13771.0,2772326850.0,198400,-0.6,719630024550,159190446675200
402340,SK스퀘어,-141465,-164681106500,49731.0,58113079000.0,95088.0,110537939000.0,-2338.0,-2791111500.0,1131000,0.53,663215522832,149206041738000
009150,삼성전기,309403,435355503000,-88245.0,-124383518000.0,-218339.0,-307139802500.0,-4352.0,-5985437500.0,1370000,-5.78,960198585500,102330363520000
373220,LG에너지솔루션,189503,67316570000,-125442.0,-44308130000.0,-49277.0,-17748854250.0,-15654.0,-5565530250.0,348500,-3.86,138387404500,81549000000000
005380,현대차,213898,82854148000,-84933.0,-32801318000.0,-127003.0,-49284467000.0,-2691.0,-1050527500.0,385000,-2.04,187042032750,78831739910000
207940,삼성바이오로직스,7617,11057308000,-10041.0,-14535680500.0,2312.0,3316826500.0,104.0,150150000.0,1440000,-1.77,44153657000,66658969440000
028260,삼성물산,-45949,-18095995000,63589.0,25139523750.0,-22635.0,-9006489750.0,4952.0,1946717000.0,382000,-0.52,157041985000,61948015942000
105560,KB금융,19187,3329425950,-22692.0,-3905894400.0,7555.0,1285364250.0,-3669.0,-642446500.0,173700,-1.25,104877006450,61609259395800
032830,삼성생명,-18264,-5735662000,31088.0,9790925250.0,-15090.0,-4765351750.0,2302.0,721189500.0,308000,-1.28,82722265000,61600000000000
034020,두산에너빌리티,-1092533,-100426726050,1331885.0,122369890450.0,-219891.0,-20184842700.0,-12380.0,-1109937450.0,89500,1.82,527171430800,57330222567000
055550,신한지주,-11695,-1352742050,10455.0,1263577200.0,10356.0,1141508950.0,-9110.0,-1051658200.0,113200,-0.61,88414008450,53141767054800
012450,한화에어로스페이스,21325,22045564000,-8366.0,-8617630500.0,-12822.0,-13282204000.0,-556.0,-579836000.0,1027000,-1.15,94508725500,52955612827000
000270,기아,166400,21023512950,-93750.0,-11864380250.0,-73935.0,-9320675450.0,778.0,97175150.0,125400,-2.34,68113930250,48957789949200
329180,HD현대중공업,-8931,-4110860750,42398.0,19386092250.0,-32421.0,-14803703500.0,-1084.0,-488929500.0,444500,-1.0,103846761750,46655264512500
034730,SK,-1048,-628052500,-15064.0,-9232574000.0,16505.0,10107196500.0,-403.0,-252797500.0,603000,-1.31,71990119000,43719129909000
006400,삼성SDI,93060,50054035500,-72229.0,-38669831500.0,-19461.0,-10651618000.0,-1617.0,-865615500.0,530000,-2.03,183146998000,42710330900000
068270,셀트리온,168048,30927202700,-116703.0,-21430133450.0,-112957.0,-20838924350.0,60980.0,11225623900.0,183100,-1.72,88792921700,42592204925600
086790,하나금융지주,2306,291203600,31301.0,4391562750.0,-30510.0,-4255582250.0,-3036.0,-418769700.0,136800,-1.51,62315211350,37533507926400
012330,현대모비스,108104,45509711500,-151862.0,-63867299500.0,42453.0,17810583750.0,797.0,332939500.0,415000,-3.94,121856642250,37275542775000
066570,LG전자,111918,23476329000,-43313.0,-9042388500.0,-70562.0,-14846341000.0,1692.0,357361250.0,205000,-4.21,125199377750,33391350790000
035420,NAVER,6895,1390796000,-52890.0,-11319825000.0,34841.0,7532444750.0,11138.0,2393543750.0,214500,-1.61,124580571500,32620407319500
010120,LS ELECTRIC,34225,6944078500,-74206.0,-15099438000.0,41923.0,8556241250.0,-2130.0,-439314250.0,200500,-3.14,77999480750,30075000000000
000810,삼성화재,2177,1397605000,102.0,87312000.0,-1919.0,-1251647500.0,-364.0,-235867500.0,647000,-1.37,64078816500,28886915031000
