종목코드,종목명,개인_순매수거래량,개인_순매수거래대금,기관_순매수거래량,기관_순매수거래대금,외국인_순매수거래량,외국인_순매수거래대금,기타법인_순매수거래량,기타법인_순매수거래대금,종가,등락률,거래대금,시가총액
005830,DB손해보험,-2357,-448372350,16524.0,3112598100.0,-20274.0,-3811207450.0,6106.0,1146794400.0,188300,0.75,17501271100,12333715716700
011070,LG이노텍,39527,20500880000,-12104.0,-6244857000.0,-27655.0,-14377108000.0,116.0,61469000.0,519000,-2.44,78876711000,12283228533000
003490,대한항공,72794,2093822550,71645.0,2073373650.0,-137540.0,-3968798600.0,-7417.0,-213457550.0,28850,-1.54,33468104850,10623164569650
078930,GS,-19825,-2247532600,-22884.0,-2587227200.0,40539.0,4587820900.0,1610.0,183827100.0,113300,-0.53,20550768800,10525059583500
443060,HD현대마린솔루션,15653,3653071250,-14004.0,-3236164750.0,-660.0,-183675000.0,-999.0,-235562500.0,233500,-5.08,22269608500,10468612910000
071050,한국금융지주,-20623,-3792840000,2778.0,513041800.0,19580.0,3598166050.0,-1649.0,-302614050.0,184400,1.15,19067070900,10275872924800
028050,삼성E&A,-14374,-843511300,194190.0,10065155500.0,-177125.0,-9091975500.0,-2897.0,-140794000.0,52000,0.39,82674932850,10192000000000
047050,포스코인터내셔널,98070,5640587800,187941.0,10866837700.0,-288986.0,-16678794700.0,2632.0,151622000.0,57800,0.87,33822599500,10168337146400
006260,LS,6424,2067342250,8962.0,2876108250.0,-14341.0,-4607832000.0,-1042.0,-334645000.0,322500,-0.92,29010765750,10062000000000
307950,현대오토에버,11338,4096776500,-14364.0,-5189029000.0,2515.0,907941250.0,421.0,151810000.0,361000,-2.3,13139325250,9900057502000
005940,NH투자증권,-105402,-2772054500,290003.0,7578467950.0,-182755.0,-4756324900.0,-1040.0,-28907000.0,26300,2.94,14532747525,9710120561500
003230,삼양식품,4920,6300705000,669.0,884519500.0,-5560.0,-7148765500.0,-25.0,-31241000.0,1276000,-1.85,35465550500,9612127140000
323410,카카오뱅크,232458,4694396975,-6870.0,-123804350.0,-233555.0,-4730995400.0,1687.0,34040225.0,20100,-1.71,14057762000,9590120783700
000500,가온전선,36078,11380112500,-7573.0,-2381613000.0,-29419.0,-9297643750.0,646.0,209983750.0,318500,-2.6,110642535250,9484167829500
180640,한진칼,3848,528272000,8344.0,1160620000.0,-12226.0,-1693507500.0,34.0,4615500.0,138500,-0.22,5545621200,9246575087500
259960,크래프톤,21367,4267484000,-11401.0,-2278576100.0,-10277.0,-2050878300.0,237.0,47158500.0,200000,-2.44,14355695300,9149588600000
090430,아모레퍼시픽,-36459,-5309095350,96805.0,14068062250.0,-58323.0,-8464844000.0,-1989.0,-289175600.0,145000,1.12,28835308800,8481450055000
0126Z0,삼성에피스홀딩스,7754,2539857750,-398.0,-129729750.0,-7307.0,-2393977000.0,-1.0,-379000.0,327000,0.0,8930148250,8136757023000
007660,이수페타시스,-540469,-59118870250,180261.0,19729646200.0,362834.0,39676131800.0,-2409.0,-262969650.0,110300,6.36,135513151750,8097036855700
016360,삼성증권,-133910,-11704496100,38800.0,3395398450.0,103516.0,9038091350.0,-8591.0,-745307600.0,88200,3.4,23048710800,7876260000000
047040,대우건설,1798177,33109845680,-440304.0,-8094646805.0,-1377156.0,-25367085215.0,14051.0,255300395.0,18290,-3.28,94710534540,7515500699020
161390,한국타이어앤테크놀로지,73875,4334515750,-749.0,-30067150.0,-74473.0,-4383300300.0,1296.0,75853500.0,58600,-3.3,18567396400,7259079043400
021240,코웨이,-591,-62174900,1073.0,132656150.0,-465.0,-68663750.0,-34.0,-3507300.0,99500,-1.58,25206954800,7041358887000
352820,하이브,75344,12290933100,-35145.0,-5699455900.0,-41709.0,-6837928300.0,1171.0,191260450.0,162500,-2.05,31456486550,7004860850000
000880,한화,-2334,-302799200,999.0,125490600.0,1422.0,188648900.0,-101.0,-13164200.0,131300,-0.91,11962661500,7002084176100
039490,키움증권,-3257,-860644000,-3555.0,-933226750.0,6760.0,1780174250.0,65.0,17101000.0,264500,0.76,8455177250,6937389582000
064400,LG씨엔에스,90891,6326347350,-13100.0,-907253100.0,-60643.0,-4222299600.0,-15302.0,-1068694450.0,69500,-1.56,29002225200,6733573386000
267270,HD건설기계,55105,7550340900,-26398.0,-3596558850.0,-32103.0,-4420472450.0,3485.0,478724700.0,136700,-2.22,25027509000,6492892666200
128940,한미약품,-6357,-3229108000,12016.0,6107664500.0,-5844.0,-2973271500.0,290.0,147906000.0,505000,0.4,20498889500,6469550455000
062040,산일전기,52773,10775545500,-33605.0,-6840733000.0,-21035.0,-4314457500.0,2079.0,423638500.0,205000,-3.07,37566821000,6281784250000
009830,한화솔루션,437519,12114688300,-258088.0,-7126056250.0,-177732.0,-4943124350.0,-22118.0,-610719300.0,27600,-2.82,46548295250,6207033993600
032640,LG유플러스,-395341,-5717691435,93128.0,1349316885.0,297365.0,4297838890.0,5349.0,77743650.0,14490,3.13,19085095935,6149957836680
326030,SK바이오팜,18005,1399811600,8410.0,656807700.0,-27273.0,-2123358400.0,341.0,26518600.0,77600,-0.13,7399448150,6077108200000
005387,현대차2우B,392,53487200,5218.0,910047650.0,-3329.0,-569523950.0,-2231.0,-385200900.0,173400,1.34,23392597050,6062745462000
001440,대한전선,1311965,39792589425,-139410.0,-4240110375.0,-1258628.0,-38137156550.0,82199.0,2468856650.0,29700,-5.56,114775205725,5820980101200
175330,JB금융지주,-15119,-469372825,54452.0,1685638950.0,-39116.0,-1209547825.0,88.0,2706200.0,31000,0.49,10989746075,5782176544000
000990,DB하이텍,-2947,-330363800,-8829.0,-956876282.0,-3088.0,-566510800.0,15585.0,1947362832.0,131900,4.6,90652920582,5738255157200
241560,두산밥캣,34372,2009103450,7270.0,428417100.0,-51655.0,-3025278450.0,10008.0,587466400.0,58100,-1.53,7978795050,5569237376500
000100,유한양행,144,9994950,28207.0,2134542900.0,-28437.0,-2151049450.0,88.0,6662200.0,75600,-0.4,13605572900,5565353043600
377300,카카오페이,77589,3116391625,-7575.0,-299603850.0,-72357.0,-2910844325.0,2230.0,89484500.0,39900,-0.87,8852384150,5398494817800
353200,대덕전자,120390,12287479250,-64646.0,-6586989550.0,-59614.0,-6098539000.0,1300.0,135336400.0,101900,-1.26,47135069850,5035584657500
088350,한화생명,-78070,-454840290,64996.0,377391500.0,9511.0,56839750.0,4175.0,24294020.0,5780,-1.37,13815522965,5020103400000
029780,삼성카드,34160,1480441600,9584.0,415685425.0,-45404.0,-1968113675.0,1652.0,71640100.0,43250,-1.14,4673021425,5010897035750
052690,한전기술,39205,5103052500,-45488.0,-5904642800.0,5198.0,659316600.0,916.0,120695800.0,129600,-3.14,50267043800,4953312000000
138930,BNK금융지주,28037,437549960,-45945.0,-718523345.0,27401.0,430050995.0,-9483.0,-148920910.0,15750,0.96,9106582315,4832726078250
004020,현대제철,-2707,-103151400,34751.0,1235867175.0,-324369.0,-11427366250.0,293054.0,10320656375.0,35100,-2.5,21682739425,4683947053500
088980,맥쿼리인프라,-34645,-340358850,180716.0,1771425710.0,-141388.0,-1385233660.0,-4723.0,-46225470.0,9780,-0.1,5359724250,4683857091540
454910,두산로보틱스,-19894,-1397973300,3604.0,259777450.0,17842.0,1247026100.0,-1543.0,-108051150.0,69600,0.58,14149763100,4511470608000
051900,LG생활건강,-8160,-2439228500,11617.0,3479020500.0,-3480.0,-1046684500.0,-20.0,-5964500.0,299000,1.18,13851318000,4477681377000
036570,NC,-142,-33064000,2309.0,486475750.0,-2023.0,-423730250.0,0.0,0.0,206500,-1.2,10572765000,4448840543000
271560,오리온,9822,1089143050,4799.0,535130450.0,-15161.0,-1684268000.0,539.0,59883700.0,111200,-0.27,7582455200,4395601225600
066970,엘앤에프,89609,9594395950,-153487.0,-16402926550.0,67072.0,7145835300.0,-3101.0,-327746000.0,107500,-3.15,51735617850,4373764780000
011790,SKC,-8854,-791670800,9557.0,853037500.0,-4047.0,-357670300.0,795.0,71000900.0,88000,0.34,9374466700,4364650224000
034220,LG디스플레이,-25989,-229326860,45564.0,391660795.0,-19032.0,-157405415.0,4634.0,39323480.0,8520,1.43,21782135755,4260000000000
001450,현대해상,-30676,-1485407975,109.0,7014175.0,23536.0,1136877925.0,6837.0,332049450.0,49100,0.61,11108907475,4185689075000
082740,한화엔진,118669,5962044300,11644.0,587880825.0,-128357.0,-6452247975.0,-1924.0,-96203600.0,49900,-2.73,21194923375,4164012385800
005385,현대차우,8058,1391074350,-244.0,-42317500.0,-7730.0,-1334184450.0,-88.0,-15197500.0,173700,0.99,12188792100,4054324752000
002380,KCC,2129,959375000,-2048.0,-938781000.0,-72.0,-16181000.0,-8.0,-3956500.0,465000,-0.64,6682773500,3995696640000
001040,CJ,-7395,-954019200,-14510.0,-1864903600.0,21864.0,2813613000.0,109.0,14062700.0,128700,0.94,8646361450,3755079642600
010060,OCI홀딩스,159148,30798103850,-57078.0,-11060866600.0,-99736.0,-19309534950.0,-4934.0,-937075950.0,191000,-6.37,79746292700,3566014312000
103590,일진전기,222522,16326223350,-1264.0,-93274000.0,-223773.0,-16417876750.0,1820.0,134161200.0,73000,-4.7,30261830950,3481033470000
008930,한미사이언스,-33396,-1682505825,17134.0,859565600.0,16464.0,833164525.0,-125.0,-6486850.0,50800,4.74,5273969950,3474290740000
161890,한국콜마,-32585,-4714319050,17194.0,2496091650.0,15641.0,2253040300.0,-193.0,-26722700.0,145500,0.21,22662071900,3434538703500
018880,한온시스템,961930,3219429674,269976.0,903626902.0,-1267138.0,-4241065223.0,26582.0,88971532.0,3345,-2.9,9588040771,3432810738990
